B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A,is_altered
0.1625,0.2243,0.3401,0.3772,0.3917,0.4012,0.3915,0.4557,0.3202,0.3865,1
0.13015,0.19455,0.26715,0.2867,0.3011,0.30295,0.2892,0.39145,0.29985,0.27785,1
0.2638,0.3189,0.3938,0.418,0.4265,0.4338,0.4269,0.4907,0.3366,0.4354,1
0.1812,0.2518,0.3884,0.415,0.4377,0.4408,0.4274,0.4969,0.292,0.4209,1
0.1284,0.1702,0.1963,0.2108,0.2113,0.2178,0.2015,0.3049,0.2848,0.2213,1
0.11675,0.1621,0.1914,0.2052,0.21365,0.2206,0.21555,0.2991,0.26565,0.2167,1
0.11405,0.16605,0.24995,0.2753,0.28795,0.2971,0.2962,0.393,0.26185,0.3008,1
0.13615,0.1934,0.29105,0.3163,0.32845,0.32985,0.3238,0.3649,0.24065,0.3151,1
0.1126,0.1594,0.2497,0.2727,0.2883,0.2933,0.2874,0.3286,0.2374,0.2778,1
0.1041,0.1572,0.25515,0.27775,0.29025,0.28935,0.2793,0.3295,0.22285,0.2717,1
0.12525,0.1623,0.22565,0.2484,0.2563,0.2598,0.248,0.2931,0.2227,0.24985,1
0.17385,0.24345,0.35835,0.387,0.39505,0.38715,0.369,0.46905,0.2771,0.3595,1
0.10035,0.13115,0.18415,0.1959,0.20275,0.20855,0.20155,0.215,0.20065,0.20175,1
0.1606,0.2374,0.3335,0.3496,0.3561,0.3491,0.3367,0.4102,0.2641,0.3268,1
0.09,0.1235,0.1585,0.1687,0.1748,0.1776,0.1741,0.2106,0.1836,0.1753,1
0.0885,0.1307,0.1877,0.2018,0.2105,0.2209,0.2161,0.2277,0.2058,0.2109,1
0.141,0.20195,0.311,0.33955,0.35025,0.3457,0.3249,0.39685,0.2586,0.31995,1
0.208,0.2861,0.3737,0.395,0.4052,0.3997,0.3754,0.4257,0.2811,0.3694,1
0.0822,0.1172,0.21245,0.24225,0.25765,0.2528,0.23755,0.35165,0.23585,0.2347,1
0.1107,0.1495,0.1909,0.2022,0.2072,0.2116,0.2138,0.2205,0.1925,0.2104,1
0.1082,0.1601,0.23,0.2468,0.2591,0.2578,0.2408,0.3579,0.2816,0.2327,1
0.1692,0.238,0.3541,0.3823,0.3951,0.4,0.3981,0.54085,0.3327,0.39215,1
0.1206,0.1733,0.2384,0.2574,0.2677,0.2823,0.2771,0.3843,0.3469,0.2799,1
0.1324,0.1991,0.2723,0.3003,0.312,0.3258,0.3107,0.3975,0.3094,0.3123,1
0.1245,0.1607,0.2071,0.21785,0.22765,0.22625,0.21365,0.2394,0.215,0.2155,1
0.2521,0.3228,0.4351,0.4577,0.4691,0.46445,0.4461,0.5072,0.2808,0.4405,1
0.1136,0.1732,0.2596,0.2822,0.2887,0.2894,0.2816,0.2989,0.2203,0.2662,1
0.0861,0.12165,0.1876,0.2002,0.2062,0.207,0.2011,0.1862,0.15695,0.1957,1
0.1256,0.1675,0.2221,0.2329,0.2403,0.2421,0.23535,0.21475,0.1759,0.2266,1
0.20395,0.2716,0.30935,0.3158,0.3216,0.32635,0.3234,0.4548,0.33635,0.308,1
0.1285,0.175,0.2361,0.2536,0.2624,0.2719,0.2638,0.2984,0.2591,0.2645,1
0.1203,0.1689,0.2109,0.21805,0.21935,0.22,0.2156,0.24165,0.21085,0.2043,1
0.2055,0.2419,0.2686,0.2845,0.2826,0.2835,0.2746,0.3063,0.2428,0.2699,1
0.10925,0.14855,0.25055,0.2741,0.29265,0.286,0.27905,0.4917,0.3544,0.2684,1
0.2555,0.3284,0.439,0.4783,0.4838,0.4721,0.4615,0.5218,0.3418,0.4524,1
0.1106,0.1583,0.2108,0.2263,0.2338,0.2426,0.2381,0.272,0.2297,0.2376,1
0.16615,0.24315,0.35715,0.37845,0.38475,0.3838,0.37325,0.36965,0.25325,0.36095,1
0.26755,0.30165,0.3344,0.34995,0.3559,0.366,0.37335,0.46,0.32585,0.383,1
0.1236,0.17165,0.2377,0.254,0.26515,0.2725,0.2747,0.3256,0.24955,0.27205,1
0.1326,0.1806,0.2693,0.2907,0.3009,0.2965,0.2836,0.4408,0.2731,0.2781,1
0.1033,0.1394,0.2126,0.231,0.2412,0.2507,0.2354,0.2494,0.2177,0.2375,1
0.1214,0.1606,0.2007,0.2148,0.2183,0.2334,0.2203,0.2578,0.2348,0.2272,1
0.1855,0.2515,0.3631,0.389,0.3965,0.3952,0.3776,0.4102,0.2481,0.3743,1
0.134,0.1801,0.2418,0.2535,0.2592,0.2717,0.268,0.3635,0.3391,0.2682,1
0.169,0.2047,0.2416,0.2493,0.2517,0.259,0.2453,0.2186,0.1879,0.2477,1
