B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A,lon,lat,class_id,class_name
0.1546,0.2237,0.3121,0.3306,0.3408,0.3527,0.3593,0.4289,0.3049,0.357,-69.3444799332242,-26.71803581687399,1,Silicic
0.12105,0.1777,0.2816,0.3017,0.3169,0.32235,0.3184,0.4429,0.3676,0.3101,-69.15823663740478,-27.662924109084397,1,Silicic
0.1745,0.239,0.314,0.3435,0.3587,0.3775,0.3786,0.473,0.3239,0.3834,-69.34075521534882,-26.722422506678654,1,Silicic
0.1656,0.2211,0.2854,0.2998,0.3076,0.316,0.3121,0.3243,0.2511,0.3039,-69.33680767873162,-26.711071761781447,1,Silicic
0.1936,0.30305,0.4234,0.4426,0.4503,0.44655,0.42795,0.47315,0.32315,0.4194,-68.81871310339034,-26.14690212123842,1,Silicic
0.2133,0.2888,0.35355,0.37995,0.38435,0.37865,0.3574,0.421,0.31055,0.3568,-68.80741129628218,-26.153387403390376,1,Silicic
0.0969,0.1393,0.2064,0.22705,0.2451,0.25595,0.25735,0.3537,0.2608,0.2626,-69.30283051862797,-27.69203023074433,1,Silicic
0.1276,0.19865,0.30865,0.3353,0.34435,0.33765,0.3134,0.41,0.26955,0.3079,-69.0454988493443,-27.314005841956828,1,Silicic
0.3647,0.4579,0.5647,0.5922,0.6056,0.6084,0.5943,0.6362,0.3989,0.5832,-69.33501189425135,-26.721595218173285,1,Silicic
0.12105,0.1777,0.2816,0.3017,0.3169,0.32235,0.3184,0.4429,0.3676,0.3101,-69.15823226712372,-27.663053610356656,1,Silicic
0.1391,0.20875,0.2849,0.30925,0.3198,0.32545,0.31515,0.33155,0.2729,0.31325,-69.16500012605199,-27.662078620157438,1,Silicic
0.1532,0.19865,0.26385,0.27765,0.2839,0.28775,0.2865,0.32065,0.2903,0.2868,-69.15868516101045,-27.662229888740416,1,Silicic
0.108,0.14,0.1968,0.2129,0.221,0.2248,0.2246,0.1899,0.1671,0.2172,-69.34605575620542,-26.72373900742693,1,Silicic
0.2187,0.27525,0.32205,0.3318,0.32925,0.3234,0.30975,0.30505,0.1885,0.3009,-68.8149091819151,-26.163871428863672,1,Silicic
0.10325,0.16015,0.2396,0.2537,0.25745,0.2574,0.2458,0.2548,0.1986,0.2415,-68.8021805894298,-26.16237347606253,1,Silicic
0.1933,0.2719,0.3399,0.3647,0.3769,0.3876,0.377,0.4739,0.3097,0.3699,-69.3376487446459,-26.70828561884799,1,Silicic
0.0767,0.1456,0.29725,0.3362,0.3589,0.3531,0.326,0.4513,0.30825,0.3173,-69.04526827170923,-27.315298881161166,1,Silicic
0.1821,0.2476,0.3197,0.3388,0.3537,0.3609,0.3592,0.4774,0.3247,0.3499,-69.33623374583911,-26.713574950494934,1,Silicic
0.20955,0.27165,0.35245,0.37,0.37765,0.37425,0.36385,0.37795,0.289,0.3557,-69.16112909780047,-27.66396150805324,1,Silicic
0.2272,0.3087,0.3802,0.4024,0.411,0.4233,0.4249,0.5061,0.3952,0.4251,-69.33522822345928,-26.72912124156765,1,Silicic
0.1143,0.1335,0.1612,0.1718,0.1738,0.1804,0.1785,0.1655,0.1488,0.179,-69.34254462245164,-26.72874926057023,1,Silicic
0.19455,0.2498,0.314,0.33045,0.3356,0.342,0.337,0.36175,0.3052,0.3371,-69.16280428201227,-27.664712678502447,1,Silicic
0.27285,0.32475,0.37145,0.3793,0.36995,0.3676,0.3575,0.31515,0.2193,0.34035,-68.81140259498811,-26.161226751326453,1,Silicic
0.1715,0.2382,0.3347,0.3638,0.3823,0.3889,0.3921,0.4941,0.3626,0.3931,-69.34359259203734,-26.712968401545023,1,Silicic
0.0951,0.13695,0.20755,0.22915,0.2465,0.2575,0.25625,0.36965,0.24655,0.259,-69.29748257309397,-27.691190816260082,1,Silicic
0.08215,0.1293,0.21745,0.23745,0.25475,0.26265,0.25485,0.4164,0.3612,0.2492,-69.15991090651853,-27.661144782392533,1,Silicic
0.2658,0.3267,0.3997,0.4228,0.4343,0.4447,0.4486,0.4949,0.3215,0.4527,-69.337717467998,-26.72356329349395,1,Silicic
0.12345,0.21135,0.3457,0.37885,0.3842,0.382,0.36025,0.4123,0.286,0.3563,-68.81966209340032,-26.147780007539428,1,Silicic
0.11145,0.15795,0.20335,0.21605,0.2226,0.23155,0.23315,0.2384,0.2016,0.23645,-69.05508860487923,-27.319782370091534,1,Silicic
0.11095,0.1632,0.26695,0.29345,0.31375,0.31195,0.3015,0.4845,0.37405,0.29315,-69.15684104458037,-27.663611101871528,1,Silicic
0.1681,0.23,0.2934,0.3112,0.3207,0.3311,0.3305,0.3813,0.2811,0.3208,-69.33505804618261,-26.710701845392766,1,Silicic
0.07985,0.12425,0.19775,0.2175,0.23365,0.23495,0.22945,0.4304,0.3618,0.22405,-69.15939657273911,-27.660806239120593,1,Silicic
0.2261,0.3174,0.4144,0.4418,0.4499,0.4648,0.4578,0.537,0.3413,0.4501,-69.34859321175588,-26.7142575205252,1,Silicic
0.1046,0.1449,0.2081,0.2258,0.2415,0.2512,0.2532,0.3601,0.2564,0.25525,-69.30040808603363,-27.69598550945522,1,Silicic
0.11385,0.16605,0.25245,0.27485,0.2881,0.29195,0.2891,0.3738,0.3093,0.28325,-69.1630216521724,-27.660301791971264,1,Silicic
