complexity,loss,equation,score,sympy_format,lambda_format
1,0.13342643,0.15856306,0.0,0.158563060000000,PySRFunction(X=>0.158563060000000)
3,0.13119866,0.1760467 - B12,0.008418788375503151,0.1760467 - B12,PySRFunction(X=>0.1760467 - B12)
4,0.116715334,tanh(0.0010821598 / B12),0.11697473563869538,tanh(0.0010821598/B12),PySRFunction(X=>tanh(0.0010821598/B12))
5,0.11575786,tanh(tanh(0.001183764 / B12)),0.008237331775993702,tanh(tanh(0.001183764/B12)),PySRFunction(X=>tanh(tanh(0.001183764/B12)))
6,0.08288976,0.8560658 - tanh(B12 / B11),0.3339890634328117,0.8560658 - tanh(B12/B11),PySRFunction(X=>0.8560658 - tanh(B12/B11))
7,0.08009068,0.8023773 - tanh(square(B12 / B11)),0.03435203944790347,0.8023773 - tanh(B12**2/B11**2),PySRFunction(X=>0.8023773 - tanh(B12**2/B11**2))
8,0.07573568,0.69941074 - tanh(tanh(square(B12 / B11))),0.05591010913346696,0.69941074 - tanh(tanh(B12**2/B11**2)),PySRFunction(X=>0.69941074 - tanh(tanh(B12**2/B11**2)))
10,0.07496877,0.718664 - (B11 + tanh(tanh(square(B12 / B11)))),0.005088878398284712,0.718664 - (B11 + tanh(tanh(B12**2/B11**2))),PySRFunction(X=>0.718664 - (B11 + tanh(tanh(B12**2/B11**2))))
11,0.07495957,0.71861035 - (tanh(tanh(square(B12 / B11))) + tanh(B11)),0.00012272529678571166,0.71861035 - (tanh(B11) + tanh(tanh(B12**2/B11**2))),PySRFunction(X=>0.71861035 - (tanh(B11) + tanh(tanh(B12**2/B11**2))))
13,0.07424311,(square(-0.8392546) - (tanh(tanh(square(B12 / B11))) + B11)) + B04,0.004801961378321442,B04 - (B11 + tanh(tanh(B12**2/B11**2))) + 0.70434828362116,PySRFunction(X=>B04 - (B11 + tanh(tanh(B12**2/B11**2))) + 0.70434828362116)
14,0.0730392,(sqrt(0.499093) - (tanh(tanh(square(B12 / B11))) + tanh(B11))) * 1.175721,0.016348695440117585,-1.175721*tanh(B11) - 1.175721*tanh(tanh(B12**2/B11**2)) + 0.830605905829325,PySRFunction(X=>-1.175721*tanh(B11) - 1.175721*tanh(tanh(B12**2/B11**2)) + 0.830605905829325)
