complexity,loss,equation,score,sympy_format,lambda_format
1,0.105599925,0.11996847,0.0,0.119968470000000,PySRFunction(X=>0.119968470000000)
3,0.1050276,0.14216277 - B8A,0.0027172441425708156,0.14216277 - B8A,PySRFunction(X=>0.14216277 - B8A)
4,0.10467362,log(B07) * -0.029542096,0.0033760446049137726,-0.029542096*log(B07),PySRFunction(X=>-0.029542096*log(B07))
5,0.104638904,B02 - (B07 + -0.13426515),0.00033171450666109734,B02 - (B07 - 0.13426515),PySRFunction(X=>B02 - (B07 - 0.13426515))
6,0.10232766,tanh(B02 / B07) * 0.28329077,0.022335396005084968,tanh(B02/B07)*0.28329077,PySRFunction(X=>tanh(B02/B07)*0.28329077)
7,0.10195271,tanh(tanh(B02 / B8A)) * 0.30772036,0.0036709393179810497,tanh(tanh(B02/B8A))*0.30772036,PySRFunction(X=>tanh(tanh(B02/B8A))*0.30772036)
8,0.10189316,tanh(tanh(tanh(B02 / B8A))) * 0.33775434,0.0005842649811255263,tanh(tanh(tanh(B02/B8A)))*0.33775434,PySRFunction(X=>tanh(tanh(tanh(B02/B8A)))*0.33775434)
9,0.10178611,(tanh(tanh(B02 / B8A)) - B07) * 0.32242507,0.0010511625444946833,(-B07 + tanh(tanh(B02/B8A)))*0.32242507,PySRFunction(X=>(-B07 + tanh(tanh(B02/B8A)))*0.32242507)
10,0.101531275,(sqrt(tanh(tanh(B02 / B8A))) * 0.47424263) - 0.1743221,0.002506771700280805,0.47424263*sqrt(tanh(tanh(B02/B8A))) - 0.1743221,PySRFunction(X=>0.47424263*sqrt(tanh(tanh(B02/B8A))) - 0.1743221)
11,0.100064136,(tanh(B02 / B8A) * 0.3625603) * tanh(B11 / B02),0.014555538694288717,tanh(B02/B8A)*0.3625603*tanh(B11/B02),PySRFunction(X=>tanh(B02/B8A)*0.3625603*tanh(B11/B02))
12,0.10005311,tanh(B11 / B07) * (tanh(tanh(B02 / B8A)) * 0.48905703),0.00011019540026210707,tanh(B11/B07)*tanh(tanh(B02/B8A))*0.48905703,PySRFunction(X=>tanh(B11/B07)*tanh(tanh(B02/B8A))*0.48905703)
13,0.09954344,tanh(B11 / B02) * ((tanh(B02 / B8A) * 0.48305684) - 0.058972523),0.00510701319987338,(tanh(B02/B8A)*0.48305684 - 1*0.058972523)*tanh(B11/B02),PySRFunction(X=>(tanh(B02/B8A)*0.48305684 - 1*0.058972523)*tanh(B11/B02))
14,0.09915429,((tanh(tanh(B02 / B8A)) - 0.1541866) / 1.587612) * tanh(B11 / B02),0.003917009998649798,(tanh(tanh(B02/B8A)) - 1*0.1541866)*tanh(B11/B02)/1.587612,PySRFunction(X=>(tanh(tanh(B02/B8A)) - 1*0.1541866)*tanh(B11/B02)/1.587612)
15,0.099028945,(tanh(B11 / B02) * (tanh(tanh(tanh(B02 / B8A))) - 0.16584492)) / 1.3292454,0.0012649406667870568,(tanh(tanh(tanh(B02/B8A))) - 1*0.16584492)*tanh(B11/B02)/1.3292454,PySRFunction(X=>(tanh(tanh(tanh(B02/B8A))) - 1*0.16584492)*tanh(B11/B02)/1.3292454)
