complexity,loss,equation,score,sympy_format,lambda_format
1,0.13882527,0.16654202,0.0,0.166542020000000,PySRFunction(X=>0.166542020000000)
3,0.13774924,0.18871784 - B8A,0.0038905806220033,0.18871784 - B8A,PySRFunction(X=>0.18871784 - B8A)
4,0.1343005,B04 / sqrt(B02),0.025355104245972388,B04/sqrt(B02),PySRFunction(X=>B04/sqrt(B02))
5,0.12820607,(B04 / B02) * 0.10116206,0.046440935270842754,B04*0.10116206/B02,PySRFunction(X=>B04*0.10116206/B02)
6,0.122407936,0.33141878 * log(B04 / B02),0.04627968668187804,0.33141878*log(B04/B02),PySRFunction(X=>0.33141878*log(B04/B02))
7,0.12240493,log(B02 / tanh(B04)) * -0.33151656,2.4557532855739386e-05,-0.33151656*log(B02/tanh(B04)),PySRFunction(X=>-0.33151656*log(B02/tanh(B04)))
8,0.11848919,tanh(square(log(B04 / B02))) * 0.5299711,0.032512914259509994,0.5299711*tanh(log(B04/B02)**2),PySRFunction(X=>0.5299711*tanh(log(B04/B02)**2))
9,0.11582898,tanh(B02 / B8A) * log(B04 / B02),0.02270693988869,log(B04/B02)*tanh(B02/B8A),PySRFunction(X=>log(B04/B02)*tanh(B02/B8A))
10,0.109967075,log(B04 / B02) * square(tanh(B04 / B8A)),0.05193379009070522,log(B04/B02)*tanh(B04/B8A)**2,PySRFunction(X=>log(B04/B02)*tanh(B04/B8A)**2)
11,0.10288417,tanh(B04 / B8A) * tanh(square(log(B04 / B02))),0.0665772104786781,tanh(B04/B8A)*tanh(log(B04/B02)**2),PySRFunction(X=>tanh(B04/B8A)*tanh(log(B04/B02)**2))
12,0.09724216,tanh(square(log(B02 / B04))) * tanh(square(B04 / B8A)),0.05639943004503991,tanh(B04**2/B8A**2)*tanh(log(B02/B04)**2),PySRFunction(X=>tanh(B04**2/B8A**2)*tanh(log(B02/B04)**2))
14,0.09656055,tanh(square(B04 / B8A)) * (B12 + tanh(square(log(B02 / B04)))),0.0035170447844250726,(B12 + tanh(log(B02/B04)**2))*tanh(B04**2/B8A**2),PySRFunction(X=>(B12 + tanh(log(B02/B04)**2))*tanh(B04**2/B8A**2))
15,0.096559495,tanh(square(B04 / B8A)) * (tanh(square(log(B04 / B02))) + tanh(B12)),1.0925846667099025e-05,(tanh(B12) + tanh(log(B04/B02)**2))*tanh(B04**2/B8A**2),PySRFunction(X=>(tanh(B12) + tanh(log(B04/B02)**2))*tanh(B04**2/B8A**2))
