complexity,loss,equation,score,sympy_format,lambda_format
1,0.111119464,0.12731154,0.0,0.127311540000000,PySRFunction(X=>0.127311540000000)
2,0.111109,sqrt(B02),9.417335492839284e-05,sqrt(B02),PySRFunction(X=>sqrt(B02))
3,0.10932824,0.14656462 - B11,0.016156968200366887,0.14656462 - B11,PySRFunction(X=>0.14656462 - B11)
4,0.10315839,0.012314803 / sqrt(B11),0.05808915919804269,0.012314803/sqrt(B11),PySRFunction(X=>0.012314803/sqrt(B11))
5,0.102429,tanh(0.013465448 / sqrt(B11)),0.007095698431033525,tanh(0.013465448/sqrt(B11)),PySRFunction(X=>tanh(0.013465448/sqrt(B11)))
6,0.09444449,tanh(B12 / B11) + -0.5701412,0.08115762113500456,tanh(B12/B11) - 0.5701412,PySRFunction(X=>tanh(B12/B11) - 0.5701412)
7,0.092055164,square(tanh(B02 / B11)) * 0.41744688,0.025624248449742277,tanh(B02/B11)**2*0.41744688,PySRFunction(X=>tanh(B02/B11)**2*0.41744688)
8,0.08531849,tanh((B12 / B11) + -0.6911665) * 0.49909997,0.07599681068251307,tanh(-0.6911665 + B12/B11)*0.49909997,PySRFunction(X=>tanh(-0.6911665 + B12/B11)*0.49909997)
10,0.08202387,(tanh((B12 / B11) + -1.1903268) * 0.43620124) + 0.21052302,0.019690446452079013,tanh(-1.1903268 + B12/B11)*0.43620124 + 0.21052302,PySRFunction(X=>tanh(-1.1903268 + B12/B11)*0.43620124 + 0.21052302)
11,0.07011752,tanh(B02 / B8A) * tanh((B12 / B11) - 0.6331987),0.1568376109776539,tanh(B02/B8A)*tanh(-1*0.6331987 + B12/B11),PySRFunction(X=>tanh(B02/B8A)*tanh(-1*0.6331987 + B12/B11))
12,0.070117496,tanh(tanh(B02) / B8A) * tanh((B12 / B11) - 0.6331987),3.422825580334505e-07,tanh(tanh(B02)/B8A)*tanh(-1*0.6331987 + B12/B11),PySRFunction(X=>tanh(tanh(B02)/B8A)*tanh(-1*0.6331987 + B12/B11))
13,0.069549225,tanh(B02 / B8A) * (tanh((B12 / B11) - 0.81405216) - -0.15651682),0.008137573959519594,(tanh(-1*0.81405216 + B12/B11) - 1*(-0.15651682))*tanh(B02/B8A),PySRFunction(X=>(tanh(-1*0.81405216 + B12/B11) - 1*(-0.15651682))*tanh(B02/B8A))
14,0.0688368,(tanh((B02 * 1.4392471) / B8A) * square(tanh(B12 / B11))) - 0.17605008,0.010296289583902196,tanh(B12/B11)**2*tanh(B02*1.4392471/B8A) - 1*0.17605008,PySRFunction(X=>tanh(B12/B11)**2*tanh(B02*1.4392471/B8A) - 1*0.17605008)
15,0.06883602,(square(tanh(tanh(B12) / B11)) * tanh(B02 * (1.4390095 / B8A))) - 0.17597292,1.133121265347658e-05,tanh(tanh(B12)/B11)**2*tanh(B02*1.4390095/B8A) - 1*0.17597292,PySRFunction(X=>tanh(tanh(B12)/B11)**2*tanh(B02*1.4390095/B8A) - 1*0.17597292)
