complexity,loss,equation,score,sympy_format,lambda_format
1,0.060982037,0.06523102,0.0,0.0652310200000000,PySRFunction(X=>0.0652310200000000)
3,0.06073341,B02 + 0.055873714,0.002042693445529724,B02 + 0.055873714,PySRFunction(X=>B02 + 0.055873714)
4,0.05946953,sqrt(B02) - B8A,0.021029877963188736,sqrt(B02) - B8A,PySRFunction(X=>sqrt(B02) - B8A)
5,0.05946603,sqrt(B02) - tanh(B8A),5.8855400369827906e-05,sqrt(B02) - tanh(B8A),PySRFunction(X=>sqrt(B02) - tanh(B8A))
6,0.059411302,sqrt(B02) - (B8A * 1.2200439),0.0009207475125102937,sqrt(B02) - 1.2200439*B8A,PySRFunction(X=>sqrt(B02) - 1.2200439*B8A)
7,0.0593923,sqrt(B02) - tanh(B8A * 1.26208),0.00031988929362650637,sqrt(B02) - tanh(1.26208*B8A),PySRFunction(X=>sqrt(B02) - tanh(1.26208*B8A))
8,0.058914393,0.6318971 / (square(B8A / B02) + 4.1260967),0.008079164202962872,0.6318971/(4.1260967 + B8A**2/B02**2),PySRFunction(X=>0.6318971/(4.1260967 + B8A**2/B02**2))
10,0.05844804,0.62870324 / ((0.04470757 / B12) + square(B8A / B02)),0.0039736348558279296,0.62870324/(0.04470757/B12 + B8A**2/B02**2),PySRFunction(X=>0.62870324/(0.04470757/B12 + B8A**2/B02**2))
11,0.058090188,0.6922236 / ((0.42250878 / sqrt(B12)) + square(B8A / B02)),0.006141386065123678,0.6922236/(0.42250878/sqrt(B12) + B8A**2/B02**2),PySRFunction(X=>0.6922236/(0.42250878/sqrt(B12) + B8A**2/B02**2))
12,0.058090135,0.6931972 / ((0.42135018 / tanh(sqrt(B12))) + square(B8A / B02)),9.123748089168553e-07,0.6931972/(0.42135018/tanh(sqrt(B12)) + B8A**2/B02**2),PySRFunction(X=>0.6931972/(0.42135018/tanh(sqrt(B12)) + B8A**2/B02**2))
13,0.05755169,0.23908623 / (square((B02 - B8A) / B02) + (0.17207833 / sqrt(B12))),0.009312355476149189,0.23908623/(0.17207833/sqrt(B12) + (B02 - B8A)**2/B02**2),PySRFunction(X=>0.23908623/(0.17207833/sqrt(B12) + (B02 - B8A)**2/B02**2))
14,0.05754973,0.23945327 / ((0.17137487 / tanh(sqrt(B12))) + square((B8A - B02) / B02)),3.405692128192269e-05,0.23945327/(0.17137487/tanh(sqrt(B12)) + (-B02 + B8A)**2/B02**2),PySRFunction(X=>0.23945327/(0.17137487/tanh(sqrt(B12)) + (-B02 + B8A)**2/B02**2))
15,0.05743356,(0.356826 / (square((B02 - B8A) / B02) + (0.22527346 / sqrt(B12)))) - 0.022407196,0.002020642121594982,-0.022407196 + 0.356826/(0.22527346/sqrt(B12) + (B02 - B8A)**2/B02**2),PySRFunction(X=>-0.022407196 + 0.356826/(0.22527346/sqrt(B12) + (B02 - B8A)**2/B02**2))
