complexity,loss,equation,score,sympy_format,lambda_format
1,0.23103455,0.3622818,0.0,0.362281800000000,PySRFunction(X=>0.362281800000000)
3,0.2251682,B8A + 0.34014457,0.012859793978909646,B8A + 0.34014457,PySRFunction(X=>B8A + 0.34014457)
4,0.2073132,sqrt(B8A / 0.14291455),0.08261698523285636,2.64521987364565*sqrt(B8A),PySRFunction(X=>2.64521987364565*sqrt(B8A))
5,0.12114748,B8A / (B04 / 0.28234103),0.537222046860782,B8A/((B04/0.28234103)),PySRFunction(X=>B8A/((B04/0.28234103)))
6,0.09789752,tanh((B8A / B04) + -0.9930167),0.21308742914165404,tanh(-0.9930167 + B8A/B04),PySRFunction(X=>tanh(-0.9930167 + B8A/B04))
8,0.07282937,tanh((B8A / B04) + -1.7551571) + 0.57227683,0.1479009546666365,tanh(-1.7551571 + B8A/B04) + 0.57227683,PySRFunction(X=>tanh(-1.7551571 + B8A/B04) + 0.57227683)
10,0.05850893,(tanh((B8A / B04) + -1.7054462) + 0.6435963) / 1.2896878,0.10946995787511629,(tanh(-1.7054462 + B8A/B04) + 0.6435963)/1.2896878,PySRFunction(X=>(tanh(-1.7054462 + B8A/B04) + 0.6435963)/1.2896878)
12,0.051745355,(B04 / (B04 + B8A)) + tanh((B8A / B04) + -1.5666977),0.061422361248929455,B04/(B04 + B8A) + tanh(-1.5666977 + B8A/B04),PySRFunction(X=>B04/(B04 + B8A) + tanh(-1.5666977 + B8A/B04))
13,0.05171876,(B04 / tanh(B8A + B04)) + tanh((B8A / B04) + -1.5671507),0.000514091297948699,B04/tanh(B04 + B8A) + tanh(-1.5671507 + B8A/B04),PySRFunction(X=>B04/tanh(B04 + B8A) + tanh(-1.5671507 + B8A/B04))
14,0.05136906,((B04 * 1.0789298) / (B04 + B8A)) + tanh((B8A / B04) + -1.6061074),0.00678453267100795,B04*1.0789298/(B04 + B8A) + tanh(-1.6061074 + B8A/B04),PySRFunction(X=>B04*1.0789298/(B04 + B8A) + tanh(-1.6061074 + B8A/B04))
15,0.051342912,((B04 * 1.0788422) / tanh(B8A + B04)) + tanh((B8A / B04) + -1.6065443),0.000509151952897511,B04*1.0788422/tanh(B04 + B8A) + tanh(-1.6065443 + B8A/B04),PySRFunction(X=>B04*1.0788422/tanh(B04 + B8A) + tanh(-1.6065443 + B8A/B04))
