complexity,loss,equation,score,sympy_format,lambda_format
1,0.16293275,0.20493415,0.0,0.204934150000000,PySRFunction(X=>0.204934150000000)
3,0.16047688,0.21745002 - B12,0.007593828318404555,0.21745002 - B12,PySRFunction(X=>0.21745002 - B12)
4,0.13367423,tanh(0.0010091544 / B12),0.18274416177084,tanh(0.0010091544/B12),PySRFunction(X=>tanh(0.0010091544/B12))
5,0.132464,tanh(tanh(0.0011071679 / B12)),0.009094810182368419,tanh(tanh(0.0011071679/B12)),PySRFunction(X=>tanh(tanh(0.0011071679/B12)))
6,0.096421346,tanh((B11 / B12) - 0.9184686),0.31758330175702426,tanh(B11/B12 - 1*0.9184686),PySRFunction(X=>tanh(B11/B12 - 1*0.9184686))
8,0.08353521,tanh((B11 / B12) - 0.88024783) * 0.74787605,0.07172969450826074,tanh(B11/B12 - 1*0.88024783)*0.74787605,PySRFunction(X=>tanh(B11/B12 - 1*0.88024783)*0.74787605)
10,0.065331414,(tanh((B11 / B12) - 1.5441291) / 1.5552782) + 0.38552704,0.12289761352152286,tanh(B11/B12 - 1*1.5441291)/1.5552782 + 0.38552704,PySRFunction(X=>tanh(B11/B12 - 1*1.5441291)/1.5552782 + 0.38552704)
11,0.064710625,tanh(B11 / B12) * tanh((B11 / B12) - 0.9758487),0.009547585081047935,tanh(B11/B12)*tanh(B11/B12 - 1*0.9758487),PySRFunction(X=>tanh(B11/B12)*tanh(B11/B12 - 1*0.9758487))
12,0.059288904,square(tanh(B11 / B12)) * tanh((B11 / B12) - 0.97827613),0.08750323536108472,tanh(B11/B12)**2*tanh(B11/B12 - 1*0.97827613),PySRFunction(X=>tanh(B11/B12)**2*tanh(B11/B12 - 1*0.97827613))
13,0.059238315,tanh((B11 / B12) - 0.39843047) * tanh((B11 / B12) - 0.9766346),0.0008536267618314748,tanh(B11/B12 - 1*0.39843047)*tanh(B11/B12 - 1*0.9766346),PySRFunction(X=>tanh(B11/B12 - 1*0.39843047)*tanh(B11/B12 - 1*0.9766346))
14,0.058563255,(tanh(square(B11 / B12)) * tanh((B11 / B12) - 1.1427388)) + 0.08837163,0.011461093251179008,tanh(B11**2/B12**2)*tanh(B11/B12 - 1*1.1427388) + 0.08837163,PySRFunction(X=>tanh(B11**2/B12**2)*tanh(B11/B12 - 1*1.1427388) + 0.08837163)
15,0.058561414,(tanh(square(tanh(B11) / B12)) * tanh((B11 / B12) - 1.1426673)) + 0.0883448,3.143658831013051e-05,tanh(tanh(B11)**2/B12**2)*tanh(B11/B12 - 1*1.1426673) + 0.0883448,PySRFunction(X=>tanh(tanh(B11)**2/B12**2)*tanh(B11/B12 - 1*1.1426673) + 0.0883448)
