complexity,loss,equation,score,sympy_format,lambda_format
1,0.16051343,0.20083646,0.0,0.200836460000000,PySRFunction(X=>0.200836460000000)
3,0.16024654,B11 - -0.1874337,0.0008320553889276223,B11 - 1*(-0.1874337),PySRFunction(X=>B11 - 1*(-0.1874337))
4,0.1602058,log(B11 - -1.2091607),0.00025426558108124475,log(B11 + 1.2091607),PySRFunction(X=>log(B11 + 1.2091607))
5,0.15946253,(-4.4798762e-5 / B11) - -0.2124823,0.004650265726556302,-1*(-0.2124823) - 4.4798762e-5/B11,PySRFunction(X=>-1*(-0.2124823) - 4.4798762e-5/B11)
6,0.15476593,tanh(B11 / B12) / 3.6547377,0.02989512650350144,tanh(B11/B12)/3.6547377,PySRFunction(X=>tanh(B11/B12)/3.6547377)
7,0.14852169,tanh(square(B11 / B12)) / 3.4420404,0.04118283830989199,tanh(B11**2/B12**2)/3.4420404,PySRFunction(X=>tanh(B11**2/B12**2)/3.4420404)
8,0.14852144,tanh(square(B11 / tanh(B12))) / 3.4428227,1.6832572428448065e-06,tanh(B11**2/tanh(B12)**2)/3.4428227,PySRFunction(X=>tanh(B11**2/tanh(B12)**2)/3.4428227)
9,0.14645441,(tanh(square(B11 / B12)) / 2.1970274) - 0.13739945,0.014015139438956008,tanh(B11**2/B12**2)/2.1970274 - 1*0.13739945,PySRFunction(X=>tanh(B11**2/B12**2)/2.1970274 - 1*0.13739945)
10,0.14645305,(tanh(square(B11 / tanh(B12))) / 2.1970274) - 0.13739945,9.286209371438226e-06,tanh(B11**2/tanh(B12)**2)/2.1970274 - 1*0.13739945,PySRFunction(X=>tanh(B11**2/tanh(B12)**2)/2.1970274 - 1*0.13739945)
11,0.14310582,tanh(square(B11 / B12)) / ((B11 / B12) + 1.8873056),0.02312054268252582,tanh(B11**2/B12**2)/(B11/B12 + 1.8873056),PySRFunction(X=>tanh(B11**2/B12**2)/(B11/B12 + 1.8873056))
12,0.1431048,tanh(square(B11 / B12)) / ((tanh(B11) / B12) + 1.8873056),7.127618115560848e-06,tanh(B11**2/B12**2)/(1.8873056 + tanh(B11)/B12),PySRFunction(X=>tanh(B11**2/B12**2)/(1.8873056 + tanh(B11)/B12))
13,0.13700168,(tanh(square(B11 / B12)) / (0.5874845 + (B11 / B12))) - 0.20043024,0.04358404045013119,-1*0.20043024 + tanh(B11**2/B12**2)/(B11/B12 + 0.5874845),PySRFunction(X=>-1*0.20043024 + tanh(B11**2/B12**2)/(B11/B12 + 0.5874845))
14,0.13682641,(tanh(square(B11 / B12)) / sqrt((B11 / B12) + 0.87789005)) - 0.26575884,0.0012801464154801798,-0.26575884 + tanh(B11**2/B12**2)/sqrt(B11/B12 + 0.87789005),PySRFunction(X=>-0.26575884 + tanh(B11**2/B12**2)/sqrt(B11/B12 + 0.87789005))
15,0.13404515,((tanh(square(B11 / B12)) / ((B11 / B12) + 0.99976414)) - 0.21386606) * 1.8483342,0.020536358613395946,(-1*0.21386606 + tanh(B11**2/B12**2)/(B11/B12 + 0.99976414))*1.8483342,PySRFunction(X=>(-1*0.21386606 + tanh(B11**2/B12**2)/(B11/B12 + 0.99976414))*1.8483342)
