complexity,loss,equation,score,sympy_format,lambda_format
1,0.03892537,0.04056881,0.0,0.0405688100000000,PySRFunction(X=>0.0405688100000000)
4,0.038693596,sqrt(B12) * 0.38717642,0.0019907049425141473,0.38717642*sqrt(B12),PySRFunction(X=>0.38717642*sqrt(B12))
5,0.038667798,tanh(sqrt(B12)) * 0.39538568,0.0006669476756399219,0.39538568*tanh(sqrt(B12)),PySRFunction(X=>0.39538568*tanh(sqrt(B12)))
6,0.038403634,(sqrt(B12) * 0.5645525) - B11,0.00685507009822032,-B11 + 0.5645525*sqrt(B12),PySRFunction(X=>-B11 + 0.5645525*sqrt(B12))
7,0.038226835,tanh(square(B12 / B11)) * 0.06841693,0.004614334637609645,tanh(B12**2/B11**2)*0.06841693,PySRFunction(X=>tanh(B12**2/B11**2)*0.06841693)
8,0.03822654,tanh(square(tanh(B12) / B11)) * 0.06843251,7.717121709720037e-06,tanh(tanh(B12)**2/B11**2)*0.06843251,PySRFunction(X=>tanh(tanh(B12)**2/B11**2)*0.06843251)
9,0.038133375,(tanh(square(B12 / B11)) * 0.09988257) - 0.02427739,0.0024401558390463687,tanh(B12**2/B11**2)*0.09988257 - 1*0.02427739,PySRFunction(X=>tanh(B12**2/B11**2)*0.09988257 - 1*0.02427739)
10,0.037921317,(square(tanh(B12 / B11)) * sqrt(B05)) - B05,0.005576475137961748,sqrt(B05)*tanh(B12/B11)**2 - B05,PySRFunction(X=>sqrt(B05)*tanh(B12/B11)**2 - B05)
11,0.037860516,(sqrt(B05) * tanh(tanh(square(B12 / B11)))) - B05,0.0016046329480077482,sqrt(B05)*tanh(tanh(B12**2/B11**2)) - B05,PySRFunction(X=>sqrt(B05)*tanh(tanh(B12**2/B11**2)) - B05)
12,0.037795287,(sqrt(B05 / 1.4957352) * tanh(square(B12 / B11))) - B05,0.0017243625360185294,0.817659793490176*sqrt(B05)*tanh(B12**2/B11**2) - B05,PySRFunction(X=>0.817659793490176*sqrt(B05)*tanh(B12**2/B11**2) - B05)
13,0.037781745,(tanh(sqrt(B05)) * (tanh(square(B12 / B11)) * 0.83117896)) - B05,0.0003583628461335989,-B05 + 0.83117896*tanh(sqrt(B05))*tanh(B12**2/B11**2),PySRFunction(X=>-B05 + 0.83117896*tanh(sqrt(B05))*tanh(B12**2/B11**2))
14,0.03777436,((tanh(square(B12 / B11)) * tanh(tanh(sqrt(B05)))) * 0.84307235) - B05,0.00019548387316994863,-B05 + 0.84307235*tanh(B12**2/B11**2)*tanh(tanh(sqrt(B05))),PySRFunction(X=>-B05 + 0.84307235*tanh(B12**2/B11**2)*tanh(tanh(sqrt(B05))))
15,0.03776902,((tanh(sqrt(B05 / 0.23723081)) * tanh(square(B12 / B11))) * 0.42180523) - B05,0.0001413757236939866,-B05 + 0.42180523*tanh(2.05312056989901*sqrt(B05))*tanh(B12**2/B11**2),PySRFunction(X=>-B05 + 0.42180523*tanh(2.05312056989901*sqrt(B05))*tanh(B12**2/B11**2))
