complexity,loss,equation,score,sympy_format,lambda_format
1,0.18853132,0.25207445,0.0,0.252074450000000,PySRFunction(X=>0.252074450000000)
3,0.18610029,0.26549038 - B11,0.00648921249160938,0.26549038 - B11,PySRFunction(X=>0.26549038 - B11)
4,0.17151248,0.017619014 / sqrt(B11),0.08162968831126895,0.017619014/sqrt(B11),PySRFunction(X=>0.017619014/sqrt(B11))
5,0.16694531,tanh(0.021340132 / sqrt(B11)),0.026989759885827604,tanh(0.021340132/sqrt(B11)),PySRFunction(X=>tanh(0.021340132/sqrt(B11)))
6,0.1036787,tanh((B12 / B11) - 0.6933294),0.47636957980677364,tanh(-1*0.6933294 + B12/B11),PySRFunction(X=>tanh(-1*0.6933294 + B12/B11))
8,0.10116368,tanh((B12 / B11) - 0.6674906) * 0.87703687,0.012278447394991409,tanh(-1*0.6674906 + B12/B11)*0.87703687,PySRFunction(X=>tanh(-1*0.6674906 + B12/B11)*0.87703687)
9,0.10024149,tanh((B12 / B11) - 0.57577425) - sqrt(B12),0.009157624352167854,-sqrt(B12) - tanh(0.57577425 - B12/B11),PySRFunction(X=>-sqrt(B12) - tanh(0.57577425 - B12/B11))
10,0.09266549,(tanh((B12 / B11) - 1.1129327) * 0.7431484) - -0.32937828,0.07858604770277589,tanh(-1*1.1129327 + B12/B11)*0.7431484 - 1*(-0.32937828),PySRFunction(X=>tanh(-1*1.1129327 + B12/B11)*0.7431484 - 1*(-0.32937828))
11,0.08692375,tanh(B12 / B11) * tanh((B12 / B11) - 0.68697846),0.06396482952248085,tanh(B12/B11)*tanh(-1*0.68697846 + B12/B11),PySRFunction(X=>tanh(B12/B11)*tanh(-1*0.68697846 + B12/B11))
12,0.08147523,tanh(square(B12 / B11)) * tanh((B12 / B11) - 0.70121837),0.0647322499062352,tanh(B12**2/B11**2)*tanh(-1*0.70121837 + B12/B11),PySRFunction(X=>tanh(B12**2/B11**2)*tanh(-1*0.70121837 + B12/B11))
14,0.080690466,(tanh((B12 / B11) - 0.6773733) * tanh(square(B12 / B11))) - B8A,0.004839310319366296,-B8A + tanh(B12**2/B11**2)*tanh(-1*0.6773733 + B12/B11),PySRFunction(X=>-B8A + tanh(B12**2/B11**2)*tanh(-1*0.6773733 + B12/B11))
15,0.08068437,(tanh((B12 / B11) - 0.67741686) * tanh(square(B12 / B11))) - tanh(B8A),7.555081267927872e-05,-tanh(B8A) + tanh(B12**2/B11**2)*tanh(-1*0.67741686 + B12/B11),PySRFunction(X=>-tanh(B8A) + tanh(B12**2/B11**2)*tanh(-1*0.67741686 + B12/B11))
