complexity,loss,equation,score,sympy_format,lambda_format
1,0.11161593,0.12799905,0.0,0.127999050000000,PySRFunction(X=>0.127999050000000)
3,0.11160466,B12 - -0.11548712,5.0488174095312434e-05,B12 - 1*(-0.11548712),PySRFunction(X=>B12 - 1*(-0.11548712))
4,0.1113137,sqrt(B12) - -0.029737186,0.00261046389565591,sqrt(B12) + 0.029737186,PySRFunction(X=>sqrt(B12) + 0.029737186)
5,0.11095691,0.12976046 - (B8A - B12),0.0032104137064776364,0.12976046 - (-B12 + B8A),PySRFunction(X=>0.12976046 - (-B12 + B8A))
6,0.108968,tanh(B12 / B8A) * 0.19392484,0.018087666600669076,tanh(B12/B8A)*0.19392484,PySRFunction(X=>tanh(B12/B8A)*0.19392484)
7,0.108240046,tanh(square(B12 / B11)) * 0.19861728,0.006702852301075575,tanh(B12**2/B11**2)*0.19861728,PySRFunction(X=>tanh(B12**2/B11**2)*0.19861728)
8,0.107429,tanh(tanh(square(B12 / B11))) * 0.24705288,0.007521244595693739,tanh(tanh(B12**2/B11**2))*0.24705288,PySRFunction(X=>tanh(tanh(B12**2/B11**2))*0.24705288)
10,0.10694622,(sqrt(B11) + 0.10272625) * tanh(square(B12 / B11)),0.0022520364814851393,(sqrt(B11) + 0.10272625)*tanh(B12**2/B11**2),PySRFunction(X=>(sqrt(B11) + 0.10272625)*tanh(B12**2/B11**2))
11,0.10537217,tanh(square(B12 / B11)) * ((B11 * 0.23243734) / B12),0.014827531788928516,tanh(B12**2/B11**2)*B11*0.23243734/B12,PySRFunction(X=>tanh(B12**2/B11**2)*B11*0.23243734/B12)
12,0.10378451,(tanh(square(B12 / B11)) * tanh(B11 / B12)) * 0.32375365,0.01518182918747258,tanh(B12**2/B11**2)*tanh(B11/B12)*0.32375365,PySRFunction(X=>tanh(B12**2/B11**2)*tanh(B11/B12)*0.32375365)
13,0.100154094,(tanh(square(B11 / B12)) * square(tanh(B12 / B11))) - 0.2061163,0.035606790350606043,tanh(B12/B11)**2*tanh(B11**2/B12**2) - 1*0.2061163,PySRFunction(X=>tanh(B12/B11)**2*tanh(B11**2/B12**2) - 1*0.2061163)
14,0.098300606,(tanh(tanh(square(B11 / B12))) * tanh(square(B12 / B11))) - 0.22552693,0.01867974802254754,tanh(B12**2/B11**2)*tanh(tanh(B11**2/B12**2)) - 1*0.22552693,PySRFunction(X=>tanh(B12**2/B11**2)*tanh(tanh(B11**2/B12**2)) - 1*0.22552693)
15,0.09806717,(tanh(square(B11 / B12)) * (tanh(square(B12 / B11)) * 0.67914987)) - 0.1575589,0.0023775398868079514,tanh(B11**2/B12**2)*tanh(B12**2/B11**2)*0.67914987 - 1*0.1575589,PySRFunction(X=>tanh(B11**2/B12**2)*tanh(B12**2/B11**2)*0.67914987 - 1*0.1575589)
