complexity,loss,equation,score,sympy_format,lambda_format
1,0.14311764,0.17307933,0.0,0.173079330000000,PySRFunction(X=>0.173079330000000)
2,0.13932875,sqrt(B8A),0.02683070082671951,sqrt(B8A),PySRFunction(X=>sqrt(B8A))
4,0.13269779,sqrt(B8A * 2.8261843),0.024380980743144213,1.68112590248321*sqrt(B8A),PySRFunction(X=>1.68112590248321*sqrt(B8A))
5,0.13207829,B8A / (0.055753566 + B8A),0.004679434263379501,B8A/(B8A + 0.055753566),PySRFunction(X=>B8A/(B8A + 0.055753566))
6,0.13134661,tanh(B8A / (B8A + 0.052009676)),0.005555145938098639,tanh(B8A/(B8A + 0.052009676)),PySRFunction(X=>tanh(B8A/(B8A + 0.052009676)))
7,0.1308811,B8A / ((B8A + B06) + 0.036214743),0.0035504294263994218,B8A/(B06 + B8A + 0.036214743),PySRFunction(X=>B8A/(B06 + B8A + 0.036214743))
8,0.13070916,(sqrt(B8A) - (B06 + 0.030482985)) / 0.3478422,0.001314575127995335,-2.87486682179448*B06 + 2.87486682179448*sqrt(B8A) - 0.0876345222057588,PySRFunction(X=>-2.87486682179448*B06 + 2.87486682179448*sqrt(B8A) - 0.0876345222057588)
9,0.13055283,((tanh(sqrt(B8A)) - B06) + -0.03248737) / 0.3313716,0.0011967299082233276,-3.01776012186922*B06 + 3.01776012186922*tanh(sqrt(B8A)) - 0.0980390896504106,PySRFunction(X=>-3.01776012186922*B06 + 3.01776012186922*tanh(sqrt(B8A)) - 0.0980390896504106)
10,0.13044694,(sqrt(B8A) - (B06 + 0.036420755)) / (B8A + 0.2907915),0.0008114183840838451,(-B06 + sqrt(B8A) - 0.036420755)/(B8A + 0.2907915),PySRFunction(X=>(-B06 + sqrt(B8A) - 0.036420755)/(B8A + 0.2907915))
11,0.13042966,(sqrt(B8A) - (B06 + 0.036075354)) / tanh(B8A + 0.30383834),0.00013247642774615823,(-B06 + sqrt(B8A) - 0.036075354)/tanh(B8A + 0.30383834),PySRFunction(X=>(-B06 + sqrt(B8A) - 0.036075354)/tanh(B8A + 0.30383834))
12,0.13041857,(sqrt(B8A) - tanh(B06 + 0.03606329)) / tanh(B8A + 0.30437064),8.50302875865612e-05,(sqrt(B8A) - tanh(B06 + 0.03606329))/tanh(B8A + 0.30437064),PySRFunction(X=>(sqrt(B8A) - tanh(B06 + 0.03606329))/tanh(B8A + 0.30437064))
13,0.13040243,square(B06) + ((sqrt(B8A) - (B06 + 0.03615571)) / (B8A + 0.29346266)),0.00012376304071069885,B06**2 + (-B06 + sqrt(B8A) - 0.03615571)/(B8A + 0.29346266),PySRFunction(X=>B06**2 + (-B06 + sqrt(B8A) - 0.03615571)/(B8A + 0.29346266))
14,0.1303958,((sqrt(B8A) + -0.036931284) - B06) / (B8A + (0.28760734 - (B06 - B8A))),5.08439033611181e-05,(-B06 + sqrt(B8A) - 0.036931284)/(-B06 + 2*B8A + 0.28760734),PySRFunction(X=>(-B06 + sqrt(B8A) - 0.036931284)/(-B06 + 2*B8A + 0.28760734))
15,0.13037387,((sqrt(B8A) - B06) + -0.0366071) / (tanh(B8A + 0.30018038) - (B06 - B8A)),0.00016819440736110826,(-B06 + sqrt(B8A) - 0.0366071)/(-B06 + B8A + tanh(B8A + 0.30018038)),PySRFunction(X=>(-B06 + sqrt(B8A) - 0.0366071)/(-B06 + B8A + tanh(B8A + 0.30018038)))
