complexity,loss,equation,score,sympy_format,lambda_format
1,0.23622715,0.61728,0.0,0.617280000000000,PySRFunction(X=>0.617280000000000)
3,0.23561734,0.63134015 - B12,0.0012923968647376195,0.63134015 - B12,PySRFunction(X=>0.63134015 - B12)
4,0.2341752,0.7222398 - sqrt(B12),0.006139495233054831,0.7222398 - sqrt(B12),PySRFunction(X=>0.7222398 - sqrt(B12))
5,0.23402898,0.7214503 - tanh(sqrt(B12)),0.0006245993137168256,0.7214503 - tanh(sqrt(B12)),PySRFunction(X=>0.7214503 - tanh(sqrt(B12)))
6,0.23263843,B05 + (0.70311844 - sqrt(B12)),0.0059595081453474716,B05 - sqrt(B12) + 0.70311844,PySRFunction(X=>B05 - sqrt(B12) + 0.70311844)
7,0.23259363,(B05 - tanh(sqrt(B12))) + 0.702334,0.0001925920588469172,B05 - tanh(sqrt(B12)) + 0.702334,PySRFunction(X=>B05 - tanh(sqrt(B12)) + 0.702334)
8,0.23185317,sqrt(B05) + tanh(log(B12) * -0.11505526),0.003188570261883205,sqrt(B05) - tanh(0.11505526*log(B12)),PySRFunction(X=>sqrt(B05) - tanh(0.11505526*log(B12)))
9,0.23143774,tanh(log(B12) * -0.13810706) + (B05 / 0.3953539),0.0017933877068449908,2.5293793737712*B05 - tanh(0.13810706*log(B12)),PySRFunction(X=>2.5293793737712*B05 - tanh(0.13810706*log(B12)))
10,0.23097749,((B05 * 3.4847019) + 0.7532884) - (sqrt(B12) * 1.9312507),0.001990635784134511,3.4847019*B05 - 1.9312507*sqrt(B12) + 0.7532884,PySRFunction(X=>3.4847019*B05 - 1.9312507*sqrt(B12) + 0.7532884)
12,0.23092519,B06 + ((B05 * 2.53824) - (sqrt(B12 * 3.8270311) - 0.75454736)),0.00011322731494761144,2.53824*B05 + B06 - 1.95627991350931*sqrt(B12) + 0.75454736,PySRFunction(X=>2.53824*B05 + B06 - 1.95627991350931*sqrt(B12) + 0.75454736)
13,0.23067205,B05 + (0.7301931 - (B12 / (B12 + ((B06 * 1.9983677) + 0.038729224)))),0.0010968004287750695,B05 - B12/(B06*1.9983677 + B12 + 0.038729224) + 0.7301931,PySRFunction(X=>B05 - B12/(B06*1.9983677 + B12 + 0.038729224) + 0.7301931)
14,0.23067035,B05 + (0.7301931 - (B12 / (tanh(B12) + ((B06 * 1.9983677) + 0.038729224)))),7.3697973565509436e-06,B05 - B12/(B06*1.9983677 + tanh(B12) + 0.038729224) + 0.7301931,PySRFunction(X=>B05 - B12/(B06*1.9983677 + tanh(B12) + 0.038729224) + 0.7301931)
15,0.23059632,(B05 + 0.73169583) - (B12 / ((B12 / 0.7664619) + ((B06 * 1.8491095) + 0.03477459))),0.00032098569201033074,B05 - B12/(B06*1.8491095 + B12/0.7664619 + 0.03477459) + 0.73169583,PySRFunction(X=>B05 - B12/(B06*1.8491095 + B12/0.7664619 + 0.03477459) + 0.73169583)
