complexity,loss,equation,score,sympy_format,lambda_format
1,0.1979181,0.2717988,0.0,0.271798800000000,PySRFunction(X=>0.271798800000000)
3,0.19762634,B12 + 0.2578014,0.0007376163672364752,B12 + 0.2578014,PySRFunction(X=>B12 + 0.2578014)
4,0.19729586,sqrt(B12) + 0.1669094,0.001673646491091708,sqrt(B12) + 0.1669094,PySRFunction(X=>sqrt(B12) + 0.1669094)
5,0.19672218,(B12 + 0.27690572) - B05,0.0029119499471359487,-B05 + B12 + 0.27690572,PySRFunction(X=>-B05 + B12 + 0.27690572)
6,0.19530095,sqrt(B12) + (0.18602774 - B05),0.007250777404961547,-B05 + sqrt(B12) + 0.18602774,PySRFunction(X=>-B05 + sqrt(B12) + 0.18602774)
7,0.19491605,sqrt(B12) - (-0.28573826 + sqrt(B05)),0.001972749136134621,-sqrt(B05) + sqrt(B12) + 0.28573826,PySRFunction(X=>-sqrt(B05) + sqrt(B12) + 0.28573826)
8,0.19434762,(sqrt(B12) - (B05 * 2.3185813)) - -0.21122973,0.002920541770765823,-2.3185813*B05 + sqrt(B12) + 0.21122973,PySRFunction(X=>-2.3185813*B05 + sqrt(B12) + 0.21122973)
9,0.19432087,sqrt(B12) - (tanh(B05 * 2.5353754) - 0.21482612),0.000137649440232325,sqrt(B12) - tanh(2.5353754*B05) + 0.21482612,PySRFunction(X=>sqrt(B12) - tanh(2.5353754*B05) + 0.21482612)
10,0.1936621,((sqrt(B12) - (B05 * 2.0620718)) * 1.7024515) - -0.1603452,0.00339587396362093,-3.5105772290177*B05 + 1.7024515*sqrt(B12) + 0.1603452,PySRFunction(X=>-3.5105772290177*B05 + 1.7024515*sqrt(B12) + 0.1603452)
11,0.19359396,(sqrt(B12) - (tanh(B05 * 2.222509) - 0.09479916)) * 1.7250336,0.0003519118626740364,1.7250336*sqrt(B12) - 1.7250336*tanh(2.222509*B05) + 0.163531736251776,PySRFunction(X=>1.7250336*sqrt(B12) - 1.7250336*tanh(2.222509*B05) + 0.163531736251776)
12,0.19357322,(((sqrt(B12) + B12) + 0.13086607) - (B05 * 2.8479726)) * 1.3916656,0.00010713718048030927,-3.96342549716256*B05 + 1.3916656*sqrt(B12) + 1.3916656*B12 + 0.182121807826192,PySRFunction(X=>-3.96342549716256*B05 + 1.3916656*sqrt(B12) + 1.3916656*B12 + 0.182121807826192)
13,0.19356965,((sqrt(B12) - ((tanh(B05) * 2.6366842) - 0.119010895)) * 1.4850535) + B12,1.844280381596631e-05,1.4850535*sqrt(B12) + B12 - 3.9156170996047*tanh(B05) + 0.176737546157883,PySRFunction(X=>1.4850535*sqrt(B12) + B12 - 3.9156170996047*tanh(B05) + 0.176737546157883)
14,0.19354533,(((sqrt(B12) + B12) - ((B05 * 2.153963) - 0.12571892)) * 1.4307951) - B07,0.0001256474240910342,-3.0818797059813*B05 - B07 + 1.4307951*sqrt(B12) + 1.4307951*B12 + 0.179878014713292,PySRFunction(X=>-3.0818797059813*B05 - B07 + 1.4307951*sqrt(B12) + 1.4307951*B12 + 0.179878014713292)
15,0.19353461,B12 + ((sqrt(B12) - tanh((B05 * 2.7923143) - 0.12700483)) * (B11 + 1.4257255)),5.5389075459315596e-05,B12 + (B11 + 1.4257255)*(sqrt(B12) - tanh(2.7923143*B05 - 0.12700483)),PySRFunction(X=>B12 + (B11 + 1.4257255)*(sqrt(B12) - tanh(2.7923143*B05 - 0.12700483)))
