complexity,loss,equation,score,sympy_format,lambda_format
1,0.020627411,0.02105621,0.0,0.0210562100000000,PySRFunction(X=>0.0210562100000000)
4,0.020608362,log(B06) * -0.004789754,0.0003079688656904768,-0.004789754*log(B06),PySRFunction(X=>-0.004789754*log(B06))
5,0.02060836,tanh(log(B06) * -0.0047904686),9.704798946866891e-08,-tanh(0.0047904686*log(B06)),PySRFunction(X=>-tanh(0.0047904686*log(B06)))
6,0.020607414,log(B07 * B06) * -0.0024011733,4.59047548234013e-05,-0.0024011733*log(B06*B07),PySRFunction(X=>-0.0024011733*log(B06*B07))
7,0.020607335,-0.0016008513 * log(square(B06) * B07),3.833579090872301e-06,-0.0016008513*log(B06**2*B07),PySRFunction(X=>-0.0016008513*log(B06**2*B07))
8,0.020605918,log(B06) * ((B12 * -0.03234564) + -0.0044577057),6.876428805843478e-05,(-0.03234564*B12 - 0.0044577057)*log(B06),PySRFunction(X=>(-0.03234564*B12 - 0.0044577057)*log(B06))
9,0.020604214,(-0.0038505613 - (sqrt(B12) * 0.010293166)) * log(B06),8.26981093374256e-05,(-0.010293166*sqrt(B12) - 0.0038505613)*log(B06),PySRFunction(X=>(-0.010293166*sqrt(B12) - 0.0038505613)*log(B06))
10,0.020602373,(log(B06 + B07) * (B12 + 0.07839414)) * -0.0647905,8.93546461988521e-05,-0.0647905*(B12 + 0.07839414)*log(B06 + B07),PySRFunction(X=>-0.0647905*(B12 + 0.07839414)*log(B06 + B07))
11,0.020593762,(-0.0038266745 - ((B12 / sqrt(B07)) * 0.009917367)) * log(B06),0.0004180489322800282,(-0.0038266745 - 0.009917367*B12/sqrt(B07))*log(B06),PySRFunction(X=>(-0.0038266745 - 0.009917367*B12/sqrt(B07))*log(B06))
12,0.020567883,-4.995803 * (-0.0040843477 - ((square(B12 - B8A) * B12) / B07)),0.0012574329043388757,-4.995803*(-0.0040843477 - B12*(B12 - B8A)**2/B07),PySRFunction(X=>-4.995803*(-0.0040843477 - B12*(B12 - B8A)**2/B07))
13,0.020547625,(-0.004658892 - (B12 * (square(B8A - B12) / B07))) * log(B06),0.0009854190121788005,(-0.004658892 - B12*(-B12 + B8A)**2/B07)*log(B06),PySRFunction(X=>(-0.004658892 - B12*(-B12 + B8A)**2/B07)*log(B06))
15,0.020545818,(-0.0038767958 - (square(B12 - B8A) * (B12 / B07))) * (log(B06) - 0.89318705),4.3972952112195093e-05,(-0.0038767958 - B12*(B12 - B8A)**2/B07)*(log(B06) - 0.89318705),PySRFunction(X=>(-0.0038767958 - B12*(B12 - B8A)**2/B07)*(log(B06) - 0.89318705))
