complexity,loss,equation,score,sympy_format,lambda_format
1,0.026541186,0.027289722,0.0,0.0272897220000000,PySRFunction(X=>0.0272897220000000)
4,0.026512567,square(B12) - -0.026695473,0.00035962272422010666,B12**2 - 1*(-0.026695473),PySRFunction(X=>B12**2 - 1*(-0.026695473))
5,0.026461085,(B12 - B06) + 0.03267321,0.0019436838603406107,-B06 + B12 + 0.03267321,PySRFunction(X=>-B06 + B12 + 0.03267321)
6,0.026456758,(B12 - tanh(B06)) + 0.032639217,0.00016353652244077135,B12 - tanh(B06) + 0.032639217,PySRFunction(X=>B12 - tanh(B06) + 0.032639217)
7,0.026428243,(B12 - (B06 * 0.758844)) + 0.02799636,0.0010783776959117782,-0.758844*B06 + B12 + 0.02799636,PySRFunction(X=>-0.758844*B06 + B12 + 0.02799636)
10,0.026420392,(((B06 - B12) / -1.3270657) + 0.03072056) + square(B12),9.903756338273624e-05,B12**2 + (B06 - B12)/(-1.3270657) + 0.03072056,PySRFunction(X=>B12**2 + (B06 - B12)/(-1.3270657) + 0.03072056)
11,0.0263682,((-0.05520992 - B12) + B06) / ((B12 * 4.510694) + -1.9066641),0.001977397578868263,(B06 - B12 - 0.05520992)/(B12*4.510694 - 1.9066641),PySRFunction(X=>(B06 - B12 - 0.05520992)/(B12*4.510694 - 1.9066641))
12,0.026367474,((B06 + -0.054975607) - tanh(B12)) / ((B12 * 4.5189548) + -1.8892664),2.7533543993399977e-05,(B06 - tanh(B12) - 0.054975607)/(B12*4.5189548 - 1.8892664),PySRFunction(X=>(B06 - tanh(B12) - 0.054975607)/(B12*4.5189548 - 1.8892664))
13,0.026366102,(tanh(B06) + tanh(-0.054964505 - B12)) / ((B12 * 4.517979) + -1.8889195),5.2035158788036104e-05,(tanh(B06) + tanh(-B12 - 0.054964505))/(B12*4.517979 - 1.8889195),PySRFunction(X=>(tanh(B06) + tanh(-B12 - 0.054964505))/(B12*4.517979 - 1.8889195))
15,0.026363201,(tanh(B06) + (-0.04226542 - B12)) / (square(B12 + (B12 + B05)) + -1.3594643),5.501684713958537e-05,(-B12 + tanh(B06) - 0.04226542)/((B05 + B12 + B12)**2 - 1.3594643),PySRFunction(X=>(-B12 + tanh(B06) - 0.04226542)/((B05 + B12 + B12)**2 - 1.3594643))
