complexity,loss,equation,score,sympy_format,lambda_format
1,0.058593716,0.062483057,0.0,0.0624830570000000,PySRFunction(X=>0.0624830570000000)
3,0.05845785,B05 + 0.04338435,0.0011607368073816445,B05 + 0.04338435,PySRFunction(X=>B05 + 0.04338435)
4,0.05819558,sqrt(B05 * 0.22519779),0.004496574886945121,0.474550092192595*sqrt(B05),PySRFunction(X=>0.474550092192595*sqrt(B05))
5,0.058158055,tanh(sqrt(B05)) * 0.48358384,0.0006450163985166396,0.48358384*tanh(sqrt(B05)),PySRFunction(X=>0.48358384*tanh(sqrt(B05)))
6,0.05797576,(sqrt(B05) * 0.66727287) - B05,0.0031393982833031703,0.66727287*sqrt(B05) - B05,PySRFunction(X=>0.66727287*sqrt(B05) - B05)
7,0.05797249,(tanh(sqrt(B05)) * 0.6776011) - B05,5.6404473562429475e-05,-B05 + 0.6776011*tanh(sqrt(B05)),PySRFunction(X=>-B05 + 0.6776011*tanh(sqrt(B05)))
8,0.05792021,sqrt((B8A + B05) * 0.22183871) - B8A,0.0009022139193630352,-B8A + sqrt(0.22183871*B05 + 0.22183871*B8A),PySRFunction(X=>-B8A + sqrt(0.22183871*B05 + 0.22183871*B8A))
9,0.057912484,(0.39527416 - B8A) * tanh(sqrt(B05 + B8A)),0.00013339929763621524,(0.39527416 - B8A)*tanh(sqrt(B05 + B8A)),PySRFunction(X=>(0.39527416 - B8A)*tanh(sqrt(B05 + B8A)))
10,0.057905816,sqrt(B05 + B8A) * ((B8A * -1.3205284) + 0.40141764),0.00011514587949170606,(0.40141764 - 1.3205284*B8A)*sqrt(B05 + B8A),PySRFunction(X=>(0.40141764 - 1.3205284*B8A)*sqrt(B05 + B8A))
11,0.057887487,square((B8A + -0.36365214) * 1.7985731) * sqrt(B05 + B8A),0.0003165813510489109,sqrt(B05 + B8A)*(1.7985731*B8A - 0.654054956761434)**2,PySRFunction(X=>sqrt(B05 + B8A)*(1.7985731*B8A - 0.654054956761434)**2)
12,0.057887144,square((B8A + -0.36365214) * 1.7985731) * sqrt(tanh(B05 + B8A)),5.9253050005031394e-06,(1.7985731*B8A - 0.654054956761434)**2*sqrt(tanh(B05 + B8A)),PySRFunction(X=>(1.7985731*B8A - 0.654054956761434)**2*sqrt(tanh(B05 + B8A)))
13,0.057832137,square((B8A + -0.25651422) * 3.0111268) * (sqrt(B8A + B05) + -0.04303952),0.0009506973024325081,(3.0111268*B8A - 0.772396842423096)**2*(sqrt(B05 + B8A) - 0.04303952),PySRFunction(X=>(3.0111268*B8A - 0.772396842423096)**2*(sqrt(B05 + B8A) - 0.04303952))
14,0.057830635,(-0.04529273 + tanh(sqrt(B8A + B05))) * square((B8A + -0.25665084) * 3.0663917),2.597205607495832e-05,(3.0663917*B8A - 0.786992005574028)**2*(tanh(sqrt(B05 + B8A)) - 0.04529273),PySRFunction(X=>(3.0663917*B8A - 0.786992005574028)**2*(tanh(sqrt(B05 + B8A)) - 0.04529273))
15,0.057830177,square((B8A + -0.25331122) * 3.1177092) * (tanh(sqrt(tanh(B05 + B8A))) + -0.045754235),7.91970922698931e-06,(3.1177092*B8A - 0.789750721057224)**2*(tanh(sqrt(tanh(B05 + B8A))) - 0.045754235),PySRFunction(X=>(3.1177092*B8A - 0.789750721057224)**2*(tanh(sqrt(tanh(B05 + B8A))) - 0.045754235))
