complexity,loss,equation,score,sympy_format,lambda_format
1,0.24999999,0.49998316,0.0,0.499983160000000,PySRFunction(X=>0.499983160000000)
2,0.20931403,sqrt(B06),0.1776252176898675,sqrt(B06),PySRFunction(X=>sqrt(B06))
3,0.18051147,B04 / 0.4518033,0.1480413387120141,B04/0.4518033,PySRFunction(X=>B04/0.4518033)
4,0.1602963,log(B04) + 1.9620953,0.11877034383301546,log(B04) + 1.9620953,PySRFunction(X=>log(B04) + 1.9620953)
5,0.1601476,log(tanh(B04)) + 1.9832942,0.0009280876351431501,log(tanh(B04)) + 1.9832942,PySRFunction(X=>log(tanh(B04)) + 1.9832942)
6,0.15620588,tanh(square(log(B04) + 2.2034175)),0.02492100924904445,tanh((log(B04) + 2.2034175)**2),PySRFunction(X=>tanh((log(B04) + 2.2034175)**2))
7,0.15208796,(B04 + -0.14247194) / (B02 + 0.04481138),0.026715843059498354,(B04 - 0.14247194)/(B02 + 0.04481138),PySRFunction(X=>(B04 - 0.14247194)/(B02 + 0.04481138))
8,0.15193579,(B04 + -0.14215305) / tanh(B02 + 0.048000824),0.0010010402983795517,(B04 - 0.14215305)/tanh(B02 + 0.048000824),PySRFunction(X=>(B04 - 0.14215305)/tanh(B02 + 0.048000824))
9,0.14801821,(B04 * (2.17184 / (B02 + 0.18773633))) - 1.103455,0.026122690649493803,B04*2.17184/(B02 + 0.18773633) - 1*1.103455,PySRFunction(X=>B04*2.17184/(B02 + 0.18773633) - 1*1.103455)
10,0.14285204,((B04 / (B05 + sqrt(B02))) * 7.9152727) - 2.5217276,0.03552589744693976,7.9152727*B04/(sqrt(B02) + B05) - 2.5217276,PySRFunction(X=>7.9152727*B04/(sqrt(B02) + B05) - 2.5217276)
12,0.1412613,((B04 * (2.7877064 / sqrt(B02))) - B12) - (B05 / B04),0.005599021231064188,-B12 - B05/B04 + 2.7877064*B04/sqrt(B02),PySRFunction(X=>-B12 - B05/B04 + 2.7877064*B04/sqrt(B02))
13,0.14096135,((B04 / ((B02 + 0.19485193) * 0.3954565)) - B12) - (B05 / B04),0.002125627499695501,B04/(((B02 + 0.19485193)*0.3954565)) - B12 - B05/B04,PySRFunction(X=>B04/(((B02 + 0.19485193)*0.3954565)) - B12 - B05/B04)
14,0.13807957,(((B12 * -0.93926877) + (B04 * 8.059938)) / (B05 + sqrt(B02))) - 2.1984677,0.020655626133488963,-2.1984677 + (8.059938*B04 - 0.93926877*B12)/(sqrt(B02) + B05),PySRFunction(X=>-2.1984677 + (8.059938*B04 - 0.93926877*B12)/(sqrt(B02) + B05))
