complexity,loss,equation,score,sympy_format,lambda_format
1,0.028203834,0.029050153,0.0,0.0290501530000000,PySRFunction(X=>0.0290501530000000)
2,0.027671382,square(B03),0.019059187808251284,B03**2,PySRFunction(X=>B03**2)
3,0.025499271,B11 - B12,0.08174887482081403,B11 - B12,PySRFunction(X=>B11 - B12)
5,0.025257528,B11 - (B12 - -0.0155479945),0.004762806809844827,B11 - (B12 - 1*(-0.0155479945)),PySRFunction(X=>B11 - (B12 - 1*(-0.0155479945)))
6,0.023939569,square((B11 - B12) / 0.2753146),0.05359155327466784,13.1929377881359*(B11 - B12)**2,PySRFunction(X=>13.1929377881359*(B11 - B12)**2)
7,0.023922363,13.400415 * square(tanh(B11 - B12)),0.0007189847974045717,13.400415*tanh(B11 - B12)**2,PySRFunction(X=>13.400415*tanh(B11 - B12)**2)
8,0.02373665,square(B12 * (B12 - B11)) * 127.15302,0.007793444651570222,(B12**2*(-B11 + B12)**2)*127.15302,PySRFunction(X=>(B12**2*(-B11 + B12)**2)*127.15302)
9,0.02370409,((B11 - (B12 - -0.033483658)) * 5.273149) * B11,0.001372660085506776,(B11 - (B12 - 1*(-0.033483658)))*5.273149*B11,PySRFunction(X=>(B11 - (B12 - 1*(-0.033483658)))*5.273149*B11)
10,0.023635326,((B11 - B12) - 0.03416993) * (square(B11) * 11.804882),0.0029051498380718264,(B11 - B12 - 1*0.03416993)*B11**2*11.804882,PySRFunction(X=>(B11 - B12 - 1*0.03416993)*B11**2*11.804882)
11,0.023528134,((B11 - B03) * ((B11 - B12) - 0.03476321)) * 11.342551,0.004545560676328115,(-B03 + B11)*(B11 - B12 - 1*0.03476321)*11.342551,PySRFunction(X=>(-B03 + B11)*(B11 - B12 - 1*0.03476321)*11.342551)
12,0.023427086,square((B11 - B02) * 5.92946) * ((B11 - B12) - 0.036496703),0.004304022257354895,(35.1584958916*(-B02 + B11)**2)*(B11 - B12 - 1*0.036496703),PySRFunction(X=>(35.1584958916*(-B02 + B11)**2)*(B11 - B12 - 1*0.036496703))
13,0.023337834,(((B11 - B12) - 0.038090643) * 19.003696) * (B11 - (B02 - -0.12845412)),0.003817053824363849,(B11 - B12 - 1*0.038090643)*19.003696*(B11 - (B02 - 1*(-0.12845412))),PySRFunction(X=>(B11 - B12 - 1*0.038090643)*19.003696*(B11 - (B02 - 1*(-0.12845412))))
15,0.023257941,((B11 - (B12 - -0.039222818)) * (((B11 - B02) - 0.12818252) * 59.30611)) * B12,0.0017145991946939218,(B11 - (B12 - 1*(-0.039222818)))*(-B02 + B11 - 1*0.12818252)*59.30611*B12,PySRFunction(X=>(B11 - (B12 - 1*(-0.039222818)))*(-B02 + B11 - 1*0.12818252)*59.30611*B12)
