complexity,loss,equation,score,sympy_format,lambda_format
1,0.025053045,0.025706142,0.0,0.0257061420000000,PySRFunction(X=>0.0257061420000000)
3,0.024913609,B11 - B8A,0.002790588338114499,B11 - B8A,PySRFunction(X=>B11 - B8A)
4,0.024149332,tanh(B11) - B8A,0.03115748109289498,-B8A + tanh(B11),PySRFunction(X=>-B8A + tanh(B11))
5,0.02364327,square(log(B8A / B11)),0.021178211415546818,log(B8A/B11)**2,PySRFunction(X=>log(B8A/B11)**2)
6,0.023468142,square(log(B8A / tanh(B11))),0.007434666007114728,log(B8A/tanh(B11))**2,PySRFunction(X=>log(B8A/tanh(B11))**2)
8,0.023154132,square((B11 - B8A) / B12) - 0.017748116,0.0067352945558960715,-1*0.017748116 + (B11 - B8A)**2/B12**2,PySRFunction(X=>-1*0.017748116 + (B11 - B8A)**2/B12**2)
10,0.023076858,(B12 * -0.06639417) + square((B11 - B8A) / B12),0.001671477767697936,B12*(-0.06639417) + (B11 - B8A)**2/B12**2,PySRFunction(X=>B12*(-0.06639417) + (B11 - B8A)**2/B12**2)
11,0.022692412,square(B8A - B11) * ((3.0150332 / square(B12)) - 23.267817),0.01679970171279994,(-1*23.267817 + 3.0150332/(B12**2))*(-B11 + B8A)**2,PySRFunction(X=>(-1*23.267817 + 3.0150332/(B12**2))*(-B11 + B8A)**2)
12,0.022615148,square(B8A - tanh(B11)) * (square(2.0359104 / B12) - 31.78843),0.0034106482405104675,(-1*31.78843 + 4.14493115682816/B12**2)*(B8A - tanh(B11))**2,PySRFunction(X=>(-1*31.78843 + 4.14493115682816/B12**2)*(B8A - tanh(B11))**2)
13,0.022579005,(((3.198298 / square(B12)) - 23.265478) * square(B11 - B8A)) - 0.015359361,0.0015994550315062202,(-1*23.265478 + 3.198298/(B12**2))*(B11 - B8A)**2 - 1*0.015359361,PySRFunction(X=>(-1*23.265478 + 3.198298/(B12**2))*(B11 - B8A)**2 - 1*0.015359361)
14,0.02253027,(square(B8A - tanh(B11)) * (square(2.0556924 / B12) - 30.442884)) - 0.012546929,0.002160753812221132,(-1*30.442884 + 4.22587124341776/B12**2)*(B8A - tanh(B11))**2 - 1*0.012546929,PySRFunction(X=>(-1*30.442884 + 4.22587124341776/B12**2)*(B8A - tanh(B11))**2 - 1*0.012546929)
15,0.022526529,(square(tanh(tanh(B11) - B8A)) * ((4.235695 / square(B12)) - 30.41757)) - 0.0127571365,0.0001660570698152924,(-1*30.41757 + 4.235695/(B12**2))*tanh(-B8A + tanh(B11))**2 - 1*0.0127571365,PySRFunction(X=>(-1*30.41757 + 4.235695/(B12**2))*tanh(-B8A + tanh(B11))**2 - 1*0.0127571365)
