complexity,loss,equation,score,sympy_format,lambda_format
1,0.026316028,0.027042845,0.0,0.0270428450000000,PySRFunction(X=>0.0270428450000000)
3,0.025971247,B12 - B07,0.006594070875083419,-B07 + B12,PySRFunction(X=>-B07 + B12)
4,0.025827045,B12 - tanh(B07),0.005567842759453628,B12 - tanh(B07),PySRFunction(X=>B12 - tanh(B07))
5,0.025715625,sqrt(square(B12 - B08)),0.00432341489311248,sqrt((-B08 + B12)**2),PySRFunction(X=>sqrt((-B08 + B12)**2))
6,0.025441833,square((B12 - B08) / B07),0.010703996048839344,(-B08 + B12)**2/B07**2,PySRFunction(X=>(-B08 + B12)**2/B07**2)
7,0.025425296,square(B12 - tanh(B07)) / 0.055559695,0.0006502038116837754,(B12 - tanh(B07))**2/0.055559695,PySRFunction(X=>(B12 - tanh(B07))**2/0.055559695)
8,0.025263758,square(B12 - tanh(B07)) / square(B08),0.006373705331380427,(B12 - tanh(B07))**2/(B08**2),PySRFunction(X=>(B12 - tanh(B07))**2/(B08**2))
9,0.025165422,square(tanh(tanh(B07)) - B12) / square(B08),0.0038999692098456266,(-B12 + tanh(tanh(B07)))**2/(B08**2),PySRFunction(X=>(-B12 + tanh(tanh(B07)))**2/(B08**2))
10,0.025153035,square(tanh(tanh(B07)) - B12) / square(tanh(B08)),0.0004923442008652784,(-B12 + tanh(tanh(B07)))**2/(tanh(B08)**2),PySRFunction(X=>(-B12 + tanh(tanh(B07)))**2/(tanh(B08)**2))
11,0.02489616,(square(B12 - B07) / square(B08 - B02)) * B12,0.010264990498777908,B12*(-B07 + B12)**2/((-B02 + B08)**2),PySRFunction(X=>B12*(-B07 + B12)**2/((-B02 + B08)**2))
12,0.024698129,B12 * (square(B12 - tanh(B07)) / square(B08 - B02)),0.007986082933570464,B12*(B12 - tanh(B07))**2/((-B02 + B08)**2),PySRFunction(X=>B12*(B12 - tanh(B07))**2/((-B02 + B08)**2))
13,0.02469812,(tanh(square(B12 - tanh(B07))) * B12) / square(B08 - B02),3.6440013895483333e-07,B12*tanh((B12 - tanh(B07))**2)/((-B02 + B08)**2),PySRFunction(X=>B12*tanh((B12 - tanh(B07))**2)/((-B02 + B08)**2))
14,0.024680983,(B12 / square(B08 - (B02 + 0.004680327))) * square(B12 - tanh(B07)),0.000694099311120022,B12*(B12 - tanh(B07))**2/((B08 - (B02 + 0.004680327))**2),PySRFunction(X=>B12*(B12 - tanh(B07))**2/((B08 - (B02 + 0.004680327))**2))
15,0.02462446,square(B12 - tanh(tanh(B07))) * ((B12 / square(B02 - B08)) + -3.9916892),0.002292770182018847,(B12 - tanh(tanh(B07)))**2*(B12/((B02 - B08)**2) - 3.9916892),PySRFunction(X=>(B12 - tanh(tanh(B07)))**2*(B12/((B02 - B08)**2) - 3.9916892))
