complexity,loss,equation,score,sympy_format,lambda_format
1,0.08307403,B02,0.0,B02,PySRFunction(X=>B02)
2,0.07576041,square(B11),0.09215627728628188,B11**2,PySRFunction(X=>B11**2)
3,0.073515266,B11 + -0.24600023,0.03008277535773747,B11 - 0.24600023,PySRFunction(X=>B11 - 0.24600023)
4,0.06677621,log(B11 / B12),0.09614620594631411,log(B11/B12),PySRFunction(X=>log(B11/B12))
5,0.061862655,(B11 / B12) + -1.0582384,0.07643019355440522,B11/B12 - 1.0582384,PySRFunction(X=>B11/B12 - 1.0582384)
6,0.05674393,square((B11 - B12) / 0.17044988),0.08636799554312106,34.4196619301791*(B11 - B12)**2,PySRFunction(X=>34.4196619301791*(B11 - B12)**2)
7,0.054870505,(B11 * 5.890604) - (B12 * 6.4675717),0.03357273568781181,B11*5.890604 - 6.4675717*B12,PySRFunction(X=>B11*5.890604 - 6.4675717*B12)
9,0.053994738,(B12 * -6.189674) - ((B11 * -6.482696) + B8A),0.00804467861439962,B12*(-6.189674) - (B11*(-6.482696) + B8A),PySRFunction(X=>B12*(-6.189674) - (B11*(-6.482696) + B8A))
11,0.053249106,(0.14405684 - (B11 * ((B12 - B11) * 13.92215))) - B8A,0.006952790827801946,-13.92215*B11*(-B11 + B12) - B8A + 0.14405684,PySRFunction(X=>-13.92215*B11*(-B11 + B12) - B8A + 0.14405684)
12,0.05317484,(0.13846341 - (tanh(B11) * ((B12 - B11) * 14.980371))) - B8A,0.0013956635672028764,-B8A - 14.980371*(-B11 + B12)*tanh(B11) + 0.13846341,PySRFunction(X=>-B8A - 14.980371*(-B11 + B12)*tanh(B11) + 0.13846341)
13,0.05234646,(0.90886587 - (B12 / B11)) / ((B8A / (B11 + -0.2458959)) * 0.17785631),0.01570103889541877,(0.90886587 - B12/B11)/((B8A*0.17785631/(B11 - 0.2458959))),PySRFunction(X=>(0.90886587 - B12/B11)/((B8A*0.17785631/(B11 - 0.2458959))))
14,0.05226551,(0.90806466 - (B12 / B11)) / ((B8A / (tanh(B11) + -0.24379738)) * 0.15434669),0.0015476243523034228,(0.90806466 - B12/B11)/((B8A*0.15434669/(tanh(B11) - 0.24379738))),PySRFunction(X=>(0.90806466 - B12/B11)/((B8A*0.15434669/(tanh(B11) - 0.24379738))))
15,0.05213922,(0.9078801 - (B12 / B11)) / (((B8A + -0.096316285) * 0.23971178) / (B11 + -0.25209934)),0.0024192402316452538,(0.9078801 - B12/B11)/(((B8A - 0.096316285)*0.23971178/(B11 - 0.25209934))),PySRFunction(X=>(0.9078801 - B12/B11)/(((B8A - 0.096316285)*0.23971178/(B11 - 0.25209934))))
