complexity,loss,equation,score,sympy_format,lambda_format
1,0.21705014,B06,0.0,B06,PySRFunction(X=>B06)
2,0.21699391,tanh(B06),0.00025909812754981466,tanh(B06),PySRFunction(X=>tanh(B06))
3,0.21569282,0.47134992 - B02,0.0060140227620746976,0.47134992 - B02,PySRFunction(X=>0.47134992 - B02)
4,0.20987856,sqrt(B05 - B02),0.027326188136931023,sqrt(-B02 + B05),PySRFunction(X=>sqrt(-B02 + B05))
5,0.19847646,0.8317603 - (B02 / B05),0.055858574057200114,0.8317603 - B02/B05,PySRFunction(X=>0.8317603 - B02/B05)
6,0.18791305,square((B02 - B05) / B12),0.05469114783047333,(B02 - B05)**2/B12**2,PySRFunction(X=>(B02 - B05)**2/B12**2)
7,0.1857142,-0.24028812 - ((B02 - B06) / B12),0.011770422988088822,-0.24028812 - (B02 - B06)/B12,PySRFunction(X=>-0.24028812 - (B02 - B06)/B12)
9,0.18496343,-0.33152407 - (((B02 - B05) / B12) * 1.2359986),0.002025401496754528,-0.33152407 - 1.2359986*(B02 - B05)/B12,PySRFunction(X=>-0.33152407 - 1.2359986*(B02 - B05)/B12)
10,0.18405847,-0.34078613 - (((B02 - tanh(B05)) / B12) * 1.3387201),0.0049046509928671695,-0.34078613 - 1.3387201*(B02 - tanh(B05))/B12,PySRFunction(X=>-0.34078613 - 1.3387201*(B02 - tanh(B05))/B12)
11,0.18366745,-0.32369146 - (((1.3709663 - B02) * (B02 - B05)) / B12),0.0021266934208838914,-0.32369146 - (1.3709663 - B02)*(B02 - B05)/B12,PySRFunction(X=>-0.32369146 - (1.3709663 - B02)*(B02 - B05)/B12)
12,0.18328625,2.1282573 - (((tanh(B02 + 0.057205047) / B05) + B12) * 1.8341731),0.0020776470553343666,2.1282573 - 1.8341731*(B12 + tanh(B02 + 0.057205047)/B05),PySRFunction(X=>2.1282573 - 1.8341731*(B12 + tanh(B02 + 0.057205047)/B05))
13,0.1823919,((B12 + ((B02 + 0.039947137) / B05)) * (B02 - 2.1597676)) + 2.1937327,0.0048914696337178905,(B02 - 1*2.1597676)*(B12 + (B02 + 0.039947137)/B05) + 2.1937327,PySRFunction(X=>(B02 - 1*2.1597676)*(B12 + (B02 + 0.039947137)/B05) + 2.1937327)
14,0.18219483,((B02 - 2.2280796) * (B12 + (tanh(B02 + 0.03743204) / B05))) + 2.2217858,0.0010810597478016217,(B02 - 1*2.2280796)*(B12 + tanh(B02 + 0.03743204)/B05) + 2.2217858,PySRFunction(X=>(B02 - 1*2.2280796)*(B12 + tanh(B02 + 0.03743204)/B05) + 2.2217858)
15,0.18195656,(((B02 - 1.2991582) * (B12 + ((B02 + 0.025854215) / B05))) + 1.1764903) * 1.9301659,0.001308631742438034,((B02 - 1*1.2991582)*(B12 + (B02 + 0.025854215)/B05) + 1.1764903)*1.9301659,PySRFunction(X=>((B02 - 1*1.2991582)*(B12 + (B02 + 0.025854215)/B05) + 1.1764903)*1.9301659)
