complexity,loss,equation,score,sympy_format,lambda_format
1,0.21783938,0.32068086,0.0,0.320680860000000,PySRFunction(X=>0.320680860000000)
3,0.205384,0.09013638 / B05,0.02943830228113455,0.09013638/B05,PySRFunction(X=>0.09013638/B05)
5,0.20360175,0.06444146 / (B05 + -0.06516806),0.004357758874643713,0.06444146/(B05 - 0.06516806),PySRFunction(X=>0.06444146/(B05 - 0.06516806))
6,0.20314795,(0.0142227495 / square(B05)) + 0.118855156,0.00223134860719514,0.118855156 + 0.0142227495/(B05**2),PySRFunction(X=>0.118855156 + 0.0142227495/(B05**2))
7,0.2000632,((B03 + 0.10482652) / B04) - 0.8275143,0.015301214686553256,-1*0.8275143 + (B03 + 0.10482652)/B04,PySRFunction(X=>-1*0.8275143 + (B03 + 0.10482652)/B04)
8,0.19848736,((0.019029211 / square(B05)) + B12) - 0.22675024,0.007907896112674506,B12 - 1*0.22675024 + 0.019029211/(B05**2),PySRFunction(X=>B12 - 1*0.22675024 + 0.019029211/(B05**2))
9,0.19774325,(0.20555156 / B05) + ((B12 + B03) - 0.9076767),0.003755948460278386,B03 + B12 - 1*0.9076767 + 0.20555156/B05,PySRFunction(X=>B03 + B12 - 1*0.9076767 + 0.20555156/B05)
10,0.19752416,((B12 + (0.024311112 / square(B05))) - 0.5064471) + B03,0.0011085660840947952,B03 + B12 - 1*0.5064471 + 0.024311112/(B05**2),PySRFunction(X=>B03 + B12 - 1*0.5064471 + 0.024311112/(B05**2))
11,0.1953835,(B12 + ((0.19783467 / B04) * (B03 / B04))) - 0.5264837,0.010896612100170983,0.19783467*B03/(B04*B04) + B12 - 1*0.5264837,PySRFunction(X=>0.19783467*B03/(B04*B04) + B12 - 1*0.5264837)
13,0.1934122,((B12 + (B03 * ((0.27777824 / B04) / B04))) - 1.0612267) + B06,0.005070315573869641,B03*0.27777824/(B04*B04) + B06 + B12 - 1*1.0612267,PySRFunction(X=>B03*0.27777824/(B04*B04) + B06 + B12 - 1*1.0612267)
15,0.19293341,(B03 + (B12 + ((B03 / B04) * (0.25781575 / B04)))) - (B04 / B06),0.0012392796312885959,B03 + B03*0.25781575/(B04*B04) - B04/B06 + B12,PySRFunction(X=>B03 + B03*0.25781575/(B04*B04) - B04/B06 + B12)
