complexity,loss,equation,score,sympy_format,lambda_format
1,0.031065112,0.03210658,0.0,0.0321065800000000,PySRFunction(X=>0.0321065800000000)
3,0.030850643,0.0064099273 / B03,0.0034638979654604716,0.0064099273/B03,PySRFunction(X=>0.0064099273/B03)
4,0.030800845,square(B03 + -0.37244985),0.0016154682537419325,(B03 - 0.37244985)**2,PySRFunction(X=>(B03 - 0.37244985)**2)
5,0.030466942,square(sqrt(B12) - B11),0.010899897717845202,(-B11 + sqrt(B12))**2,PySRFunction(X=>(-B11 + sqrt(B12))**2)
7,0.030418301,square(B11 - sqrt(B12)) / 0.82973564,0.0007988965462146784,1.20520314156928*(B11 - sqrt(B12))**2,PySRFunction(X=>1.20520314156928*(B11 - sqrt(B12))**2)
8,0.030147048,square(B12) * ((0.47129026 - B11) / B03),0.008957425925962317,B12**2*(0.47129026 - B11)/B03,PySRFunction(X=>B12**2*(0.47129026 - B11)/B03)
9,0.030011859,(B11 + -0.4730884) * ((B03 - B12) / 0.23067988),0.004494404380198059,(B03 - B12)*(B11 - 0.4730884)/0.23067988,PySRFunction(X=>(B03 - B12)*(B11 - 0.4730884)/0.23067988)
10,0.029911086,(B03 - B12) * tanh((B11 + -0.45230454) / B03),0.003363422642210475,(B03 - B12)*tanh((B11 - 0.45230454)/B03),PySRFunction(X=>(B03 - B12)*tanh((B11 - 0.45230454)/B03))
11,0.029796207,square(B03 - B12) * ((6.624248 / tanh(B11)) + -15.35836),0.0038480773783454297,(-15.35836 + 6.624248/tanh(B11))*(B03 - B12)**2,PySRFunction(X=>(-15.35836 + 6.624248/tanh(B11))*(B03 - B12)**2)
12,0.029508948,(B11 - (square(B12 / B03) * B8A)) * (B11 - 0.49320656),0.009687564144293927,(B11 - 1*0.49320656)*(B11 - B8A*B12**2/B03**2),PySRFunction(X=>(B11 - 1*0.49320656)*(B11 - B8A*B12**2/B03**2))
13,0.029368214,((B11 - 0.4941444) * (B11 - (B12 * (B8A / B03)))) / 0.2627329,0.004780606376038095,(B11 - 1*0.4941444)*(B11 - B12*B8A/B03)/0.2627329,PySRFunction(X=>(B11 - 1*0.4941444)*(B11 - B12*B8A/B03)/0.2627329)
14,0.029347984,((B11 - (B12 * (B8A / tanh(B03)))) * (B11 - 0.49217585)) / 0.26654184,0.000689077341161575,(B11 - 1*0.49217585)*(B11 - B12*B8A/tanh(B03))/0.26654184,PySRFunction(X=>(B11 - 1*0.49217585)*(B11 - B12*B8A/tanh(B03))/0.26654184)
15,0.02933903,(tanh(B11 - 0.49109048) * (B11 - ((B12 * B8A) / tanh(B03)))) / 0.2606327,0.00030514416935503496,(B11 - B12*B8A/tanh(B03))*tanh(B11 - 1*0.49109048)/0.2606327,PySRFunction(X=>(B11 - B12*B8A/tanh(B03))*tanh(B11 - 1*0.49109048)/0.2606327)
