complexity,loss,equation,score,sympy_format,lambda_format
1,0.12964235,B02,0.0,B02,PySRFunction(X=>B02)
2,0.12952286,tanh(B02),0.0009221145729151669,tanh(B02),PySRFunction(X=>tanh(B02))
3,0.1275556,B12 + -0.12349184,0.015305042682108663,B12 - 0.12349184,PySRFunction(X=>B12 - 0.12349184)
4,0.12446622,B12 - square(B07),0.024517994187098848,-B07**2 + B12,PySRFunction(X=>-B07**2 + B12)
5,0.12195336,(B03 / B06) + -0.5188428,0.020395677230293445,B03/B06 - 0.5188428,PySRFunction(X=>B03/B06 - 0.5188428)
6,0.12019357,B03 / square(B07 / B12),0.014535150064025093,B03/((B07**2/B12**2)),PySRFunction(X=>B03/((B07**2/B12**2)))
7,0.118889436,((B12 - B07) / 0.5194232) + B03,0.010909574515567214,B03 + (-B07 + B12)/0.5194232,PySRFunction(X=>B03 + (-B07 + B12)/0.5194232)
8,0.11471587,(B03 * (B12 / square(B07))) + -0.45114133,0.03573557647238328,B03*B12/(B07**2) - 0.45114133,PySRFunction(X=>B03*B12/(B07**2) - 0.45114133)
9,0.11408842,(B03 * (B12 / square(tanh(B07)))) + -0.49105898,0.0054846137094619034,B03*B12/(tanh(B07)**2) - 0.49105898,PySRFunction(X=>B03*B12/(tanh(B07)**2) - 0.49105898)
10,0.11265918,(B12 * (B03 / (square(B07) + 0.00982708))) + -0.38354537,0.012606606893569931,B03*B12/(B07**2 + 0.00982708) - 0.38354537,PySRFunction(X=>B03*B12/(B07**2 + 0.00982708) - 0.38354537)
11,0.1108544,((((B03 / B07) - B07) / 0.19770807) * B12) + -0.3238265,0.01614952634911833,B12*(B03/B07 - B07)/0.19770807 - 0.3238265,PySRFunction(X=>B12*(B03/B07 - B07)/0.19770807 - 0.3238265)
12,0.11045125,(B12 * (((B03 / B07) - sqrt(B02)) / 0.12751958)) + -0.4333851,0.0036433814135216685,B12*(-7.84193298001766*sqrt(B02) + 7.84193298001766*B03/B07) - 0.4333851,PySRFunction(X=>B12*(-7.84193298001766*sqrt(B02) + 7.84193298001766*B03/B07) - 0.4333851)
13,0.10993575,((((tanh(B03) / B07) - sqrt(B02)) * B12) / 0.12289324) + -0.43141812,0.004678142904469711,8.13714407724949*B12*(-sqrt(B02) + tanh(B03)/B07) - 0.43141812,PySRFunction(X=>8.13714407724949*B12*(-sqrt(B02) + tanh(B03)/B07) - 0.43141812)
15,0.10991915,(B03 * -2.0624747) + (((B03 - 0.09378109) * (1.905809 / B07)) * (B12 / B07)),7.550434414493988e-05,B03*(-2.0624747) + (B03 - 1*0.09378109)*1.905809*B12/(B07*B07),PySRFunction(X=>B03*(-2.0624747) + (B03 - 1*0.09378109)*1.905809*B12/(B07*B07))
