complexity,loss,equation,score,sympy_format,lambda_format
1,0.030708468,0.03171614,0.0,0.0317161400000000,PySRFunction(X=>0.0317161400000000)
2,0.030570833,square(B02),0.004492062709408929,B02**2,PySRFunction(X=>B02**2)
3,0.03042058,B02 * 0.22701631,0.004927031415296807,B02*0.22701631,PySRFunction(X=>B02*0.22701631)
4,0.029922014,B03 - square(B11),0.016524889377973025,B03 - B11**2,PySRFunction(X=>B03 - B11**2)
5,0.02897405,B03 - (B11 * 0.48310623),0.03219386187202611,B03 - 0.48310623*B11,PySRFunction(X=>B03 - 0.48310623*B11)
6,0.028327463,-0.16944784 - (log(B11) * B03),0.022568843682602785,-B03*log(B11) - 0.16944784,PySRFunction(X=>-B03*log(B11) - 0.16944784)
8,0.028264128,((B03 * log(B11)) * -1.1732304) - 0.20800565,0.0011191596723751623,-1.1732304*B03*log(B11) - 0.20800565,PySRFunction(X=>-1.1732304*B03*log(B11) - 0.20800565)
9,0.02802374,((B03 * (0.74561125 - B11)) + -0.06467512) / 0.30318213,0.008541430685486203,(B03*(0.74561125 - B11) - 0.06467512)/0.30318213,PySRFunction(X=>(B03*(0.74561125 - B11) - 0.06467512)/0.30318213)
10,0.028013242,((sqrt(B03) - B11) * (B03 + -0.1227277)) / B02,0.00037468113906672734,(sqrt(B03) - B11)*(B03 - 0.1227277)/B02,PySRFunction(X=>(sqrt(B03) - B11)*(B03 - 0.1227277)/B02)
11,0.027993158,((sqrt(tanh(B03)) - B11) * (B03 + -0.121352896)) / B02,0.0007172037788860928,(B03 - 0.121352896)*(-B11 + sqrt(tanh(B03)))/B02,PySRFunction(X=>(B03 - 0.121352896)*(-B11 + sqrt(tanh(B03)))/B02)
12,0.027854614,(square((B11 * B11) - B03) / 0.1346286) * (B12 / B8A),0.004961497271728786,B12*(-B03 + B11*B11)**2/(0.1346286*B8A),PySRFunction(X=>B12*(-B03 + B11*B11)**2/(0.1346286*B8A))
13,0.027460763,(sqrt(B03) - B11) * (log(B03) + ((B12 * 2.4970183) / B11)),0.014240440076385245,(sqrt(B03) - B11)*(log(B03) + 2.4970183*B12/B11),PySRFunction(X=>(sqrt(B03) - B11)*(log(B03) + 2.4970183*B12/B11))
14,0.027382819,((B12 * (square(B03 - (B11 * B11)) / 0.099607944)) + -0.008390997) / B8A,0.0028424128999382623,(B12*(B03 - B11*B11)**2/0.099607944 - 0.008390997)/B8A,PySRFunction(X=>(B12*(B03 - B11*B11)**2/0.099607944 - 0.008390997)/B8A)
15,0.02658354,(log(B03 - B02) + ((B12 * 4.2364583) / B11)) * (sqrt(B03) - B11),0.02962354566292795,(sqrt(B03) - B11)*(log(-B02 + B03) + 4.2364583*B12/B11),PySRFunction(X=>(sqrt(B03) - B11)*(log(-B02 + B03) + 4.2364583*B12/B11))
