complexity,loss,equation,score,sympy_format,lambda_format
1,0.120656736,B03,0.0,B03,PySRFunction(X=>B03)
2,0.11879827,square(B06),0.015522776895474396,B06**2,PySRFunction(X=>B06**2)
3,0.11609036,B04 - 0.13495661,0.02305799114552007,B04 - 1*0.13495661,PySRFunction(X=>B04 - 1*0.13495661)
4,0.11518975,square(B03) / B12,0.007788084778656492,B03**2/B12,PySRFunction(X=>B03**2/B12)
5,0.115072474,square(tanh(B03)) / B12,0.0010186300479798753,tanh(B03)**2/B12,PySRFunction(X=>tanh(B03)**2/B12)
6,0.11468074,square(B03 / B12) * B03,0.0034100448283905706,B03*(B03**2/B12**2),PySRFunction(X=>B03*(B03**2/B12**2))
7,0.11443278,((B04 / B12) - 0.34094703) * B03,0.002164517369472654,B03*(B04/B12 - 1*0.34094703),PySRFunction(X=>B03*(B04/B12 - 1*0.34094703))
8,0.114314266,(square(B03 / B12) * B04) * 0.78399867,0.0010362014520106605,(B03**2/B12**2)*B04*0.78399867,PySRFunction(X=>(B03**2/B12**2)*B04*0.78399867)
9,0.1140057,B04 / (((B12 * 2.386304) / B03) + -1.0437119),0.0027029277663835607,B04/(-1.0437119 + B12*2.386304/B03),PySRFunction(X=>B04/(-1.0437119 + B12*2.386304/B03))
10,0.113853246,(square(B03 / B12) * (1.1716291 - B06)) * B04,0.0013381438422789404,B04*(B03**2/B12**2)*(1.1716291 - B06),PySRFunction(X=>B04*(B03**2/B12**2)*(1.1716291 - B06))
11,0.11347847,B04 / (B06 + (((B12 / B03) * 2.5550911) - 1.6240476)),0.003297176004489488,B04/(B06 - 1*1.6240476 + B12*2.5550911/B03),PySRFunction(X=>B04/(B06 - 1*1.6240476 + B12*2.5550911/B03))
13,0.11339874,log(B06) * (((B03 / square(B12)) * (0.12121358 - B04)) * B04),0.0003514235884784477,B03*B04*(0.12121358 - B04)*log(B06)/B12**2,PySRFunction(X=>B03*B04*(0.12121358 - B04)*log(B06)/B12**2)
14,0.11313744,B04 / (((square(B06 * B06) + B12) * (2.2746007 / B03)) + -1.1886605),0.0023069172958036367,B04/(-1.1886605 + (B06**4 + B12)*2.2746007/B03),PySRFunction(X=>B04/(-1.1886605 + (B06**4 + B12)*2.2746007/B03))
15,0.11292139,(((B04 - 0.10460437) * B03) * 0.57872856) / (B12 - (B03 * (0.86979294 - B06))),0.001911449915765399,(B04 - 1*0.10460437)*B03*0.57872856/(-B03*(0.86979294 - B06) + B12),PySRFunction(X=>(B04 - 1*0.10460437)*B03*0.57872856/(-B03*(0.86979294 - B06) + B12))
