complexity,loss,equation,score,sympy_format,lambda_format
1,0.14800067,x7,0.0,x7,PySRFunction(X=>x7)
3,0.14476418,x8 * 1.4727044,0.011055363561150035,x8*1.4727044,PySRFunction(X=>x8*1.4727044)
4,0.13391201,x8 / sqrt(x9),0.0779231311823725,x8/sqrt(x9),PySRFunction(X=>x8/sqrt(x9))
5,0.12939508,sqrt(x8) - square(x9),0.034312582770594006,sqrt(x8) - x9**2,PySRFunction(X=>sqrt(x8) - x9**2)
6,0.12670915,x7 + (sqrt(x8) - x9),0.020976057148706494,x7 + sqrt(x8) - x9,PySRFunction(X=>x7 + sqrt(x8) - x9)
7,0.12540336,((0.6856782 - x9) * 5.524379) * x8,0.010358880458688291,(0.6856782 - x9)*5.524379*x8,PySRFunction(X=>(0.6856782 - x9)*5.524379*x8)
8,0.11976245,(x8 * 12.762004) * square(x9 - 0.7141288),0.04602522461428395,x8*12.762004*(x9 - 1*0.7141288)**2,PySRFunction(X=>x8*12.762004*(x9 - 1*0.7141288)**2)
10,0.11595634,(x8 - 0.027115216) * (square(x9 - 0.69458294) * 17.468132),0.016148228268200185,(x8 - 1*0.027115216)*(x9 - 1*0.69458294)**2*17.468132,PySRFunction(X=>(x8 - 1*0.027115216)*(x9 - 1*0.69458294)**2*17.468132)
12,0.1097569,square(x8 * ((0.5136218 - x8) * ((0.68989617 - x9) * 29.432585))),0.027472910404530478,866.277059782225*x8**2*(0.5136218 - x8)**2*(0.68989617 - x9)**2,PySRFunction(X=>866.277059782225*x8**2*(0.5136218 - x8)**2*(0.68989617 - x9)**2)
13,0.1023947,square(square((((1.0307143 - x9) * x8) * (0.38995132 - x8)) * 31.354229)),0.06943296668506276,1090781.36429984*x8**4*(0.38995132 - x8)**4*(1 - 0.970200956753971*x9)**4,PySRFunction(X=>1090781.36429984*x8**4*(0.38995132 - x8)**4*(1 - 0.970200956753971*x9)**4)
15,0.10148975,square(square(((0.38557082 - x8) * x8) * ((1.124219 - x9) * 31.356165)) + -0.14866407),0.004438572646304642,1544171.19846499*(x8**2*(0.38557082 - x8)**2*(1 - 0.889506404001355*x9)**2 - 0.000119635011166816)**2,PySRFunction(X=>1544171.19846499*(x8**2*(0.38557082 - x8)**2*(1 - 0.889506404001355*x9)**2 - 0.000119635011166816)**2)
