complexity,loss,equation,score,sympy_format,lambda_format
1,0.15368594,0.18963525,0.0,0.189635250000000,PySRFunction(X=>0.189635250000000)
3,0.1470544,x6 * 0.59320694,0.022054291554780663,x6*0.59320694,PySRFunction(X=>x6*0.59320694)
4,0.14372824,x6 - square(x6),0.022878292041434475,-x6**2 + x6,PySRFunction(X=>-x6**2 + x6)
5,0.13518253,x6 * (0.11739389 / x7),0.061298355022800524,x6*0.11739389/x7,PySRFunction(X=>x6*0.11739389/x7)
6,0.1279489,square((x9 / x7) * -0.20556577),0.05499497382283176,0.0422572857956929*x9**2/x7**2,PySRFunction(X=>0.0422572857956929*x9**2/x7**2)
8,0.12580255,(x9 * x6) * square(-0.21420413 / x7),0.008458675564712881,x6*(0.0458834093090569/x7**2)*x9,PySRFunction(X=>x6*(0.0458834093090569/x7**2)*x9)
9,0.12488572,square((square(x9) + (-0.25738075 / x7)) * x6),0.007314535201151612,x6**2*(x9**2 - 0.25738075/x7)**2,PySRFunction(X=>x6**2*(x9**2 - 0.25738075/x7)**2)
10,0.122549236,x6 * square((x6 + (-0.39672205 / x7)) * x9),0.01888620336545725,x6*(x9**2*(x6 - 0.39672205/x7)**2),PySRFunction(X=>x6*(x9**2*(x6 - 0.39672205/x7)**2))
11,0.12114007,(x6 * x9) * square((-0.24798198 / x7) + square(x6)),0.011565396368111222,x6*x9*(x6**2 - 0.24798198/x7)**2,PySRFunction(X=>x6*x9*(x6**2 - 0.24798198/x7)**2)
12,0.11916141,x6 * (x7 + (((0.04942443 / square(x7)) - x6) * x9)),0.016468518791568455,x6*(x7 + x9*(-x6 + 0.04942443/(x7**2))),PySRFunction(X=>x6*(x7 + x9*(-x6 + 0.04942443/(x7**2))))
13,0.11828968,square(x7) + ((x9 * x6) * ((0.05457293 / square(x7)) - x6)),0.007342429266890994,x6*x9*(-x6 + 0.05457293/(x7**2)) + x7**2,PySRFunction(X=>x6*x9*(-x6 + 0.05457293/(x7**2)) + x7**2)
14,0.11446796,x7 + ((((square(0.25231037 / x7) - x6) * x6) * x9) - 0.19876023),0.03284157282962048,x6*x9*(-x6 + 0.0636605228095369/x7**2) + x7 - 1*0.19876023,PySRFunction(X=>x6*x9*(-x6 + 0.0636605228095369/x7**2) + x7 - 1*0.19876023)
