complexity,loss,equation,score,sympy_format,lambda_format
1,0.15974662,x6,0.0,x6,PySRFunction(X=>x6)
2,0.15690364,square(x9),0.01795707601433733,x9**2,PySRFunction(X=>x9**2)
3,0.13746265,x6 - x2,0.13227961511685388,-x2 + x6,PySRFunction(X=>-x2 + x6)
5,0.13648163,x6 - (x2 * 0.829629),0.0035811085146238704,-0.829629*x2 + x6,PySRFunction(X=>-0.829629*x2 + x6)
6,0.13173343,square((x7 + x6) - x2),0.035409615802900495,(-x2 + x6 + x7)**2,PySRFunction(X=>(-x2 + x6 + x7)**2)
7,0.127916,(x7 * (x2 - x6)) / -0.17631228,0.02940661251767012,x7*(x2 - x6)/(-0.17631228),PySRFunction(X=>x7*(x2 - x6)/(-0.17631228))
8,0.12608965,x6 * square(x7 / (x2 - -0.144524)),0.014380636607116285,x6*(x7**2/(x2 - 1*(-0.144524))**2),PySRFunction(X=>x6*(x7**2/(x2 - 1*(-0.144524))**2))
10,0.125441,square((x7 * (x6 - -0.16603552)) / (-0.12735854 - x2)),0.0025788166885589714,x7**2*(x6 - 1*(-0.16603552))**2/(-x2 - 0.12735854)**2,PySRFunction(X=>x7**2*(x6 - 1*(-0.16603552))**2/(-x2 - 0.12735854)**2)
11,0.124876805,(square(x7 / (-0.10798682 - x2)) * sqrt(x9)) * x6,0.0045078371903900655,x6*x7**2*sqrt(x9)/(-x2 - 0.10798682)**2,PySRFunction(X=>x6*x7**2*sqrt(x9)/(-x2 - 0.10798682)**2)
12,0.124048404,(x2 - x6) * (square(x7 / (-0.2273831 - x2)) / -0.4033015),0.006655847043589679,(x7**2/(-x2 - 0.2273831)**2)*(x2 - x6)/(-0.4033015),PySRFunction(X=>(x7**2/(-x2 - 0.2273831)**2)*(x2 - x6)/(-0.4033015))
14,0.12373161,square(x7 / (x2 - -0.18899064)) * (((x7 - x6) / -0.46107167) + x7),0.0012785299649493405,(x7**2/(x2 - 1*(-0.18899064))**2)*(x7 + (-x6 + x7)/(-0.46107167)),PySRFunction(X=>(x7**2/(x2 - 1*(-0.18899064))**2)*(x7 + (-x6 + x7)/(-0.46107167)))
15,0.12334199,square(x7 / (x2 - -0.18899064)) * (((square(x7) - x6) / -0.46107167) + -0.16272363),0.0031538806490152916,(x7**2/(x2 - 1*(-0.18899064))**2)*((-x6 + x7**2)/(-0.46107167) - 0.16272363),PySRFunction(X=>(x7**2/(x2 - 1*(-0.18899064))**2)*((-x6 + x7**2)/(-0.46107167) - 0.16272363))
