complexity,loss,equation,score,sympy_format,lambda_format
1,0.21513934,B06,0.0,B06,PySRFunction(X=>B06)
3,0.21487516,B06 + 0.016251646,0.0006143514538144549,B06 + 0.016251646,PySRFunction(X=>B06 + 0.016251646)
4,0.20933023,sqrt(B05 - B02),0.026144155472264983,sqrt(-B02 + B05),PySRFunction(X=>sqrt(-B02 + B05))
5,0.20273703,(B02 - B06) * -2.1219988,0.03200333230701205,(B02 - B06)*(-2.1219988),PySRFunction(X=>(B02 - B06)*(-2.1219988))
6,0.1896587,square((B05 - B02) / B12),0.0666835794813131,(-B02 + B05)**2/B12**2,PySRFunction(X=>(-B02 + B05)**2/B12**2)
7,0.18709613,((B02 * -1.3716221) + B05) / B12,0.01360359212112178,(B02*(-1.3716221) + B05)/B12,PySRFunction(X=>(B02*(-1.3716221) + B05)/B12)
8,0.1867685,(B05 + tanh(B02 * -1.3993952)) / B12,0.0017526669151288192,(B05 + tanh(B02*(-1.3993952)))/B12,PySRFunction(X=>(B05 + tanh(B02*(-1.3993952)))/B12)
9,0.18652377,((B05 + (B02 * -1.2080203)) / B12) + -0.095220655,0.001311197979333799,-0.095220655 + (B02*(-1.2080203) + B05)/B12,PySRFunction(X=>-0.095220655 + (B02*(-1.2080203) + B05)/B12)
10,0.18562658,((B02 / B05) * -1.4339534) + sqrt(B06 / B12),0.004821662740275105,-1.4339534*B02/B05 + sqrt(B06/B12),PySRFunction(X=>-1.4339534*B02/B05 + sqrt(B06/B12))
11,0.1855816,(((B02 * -1.4359149) + (B05 * 1.2100043)) / B12) + -0.1962546,0.00024234379867461904,-0.1962546 + (B02*(-1.4359149) + B05*1.2100043)/B12,PySRFunction(X=>-0.1962546 + (B02*(-1.4359149) + B05*1.2100043)/B12)
12,0.1852416,(((B02 * -1.6373502) / B05) + sqrt(B05 / B12)) + 0.12180643,0.0018337584880107145,-1.6373502*B02/B05 + sqrt(B05/B12) + 0.12180643,PySRFunction(X=>-1.6373502*B02/B05 + sqrt(B05/B12) + 0.12180643)
13,0.18520094,((B02 * -1.6380823) / B05) + (sqrt(tanh(B05) / B12) + 0.13780005),0.00021952122541474853,-1.6380823*B02/B05 + sqrt(tanh(B05)/B12) + 0.13780005,PySRFunction(X=>-1.6380823*B02/B05 + sqrt(tanh(B05)/B12) + 0.13780005)
14,0.18489237,(((((B02 * -0.8503958) / B05) + B05) + 0.5791929) - B12) / sqrt(B12),0.0016675258004631068,(-0.8503958*B02/B05 + B05 - B12 + 0.5791929)/sqrt(B12),PySRFunction(X=>(-0.8503958*B02/B05 + B05 - B12 + 0.5791929)/sqrt(B12))
15,0.18437283,((tanh(B02 * (-1.5079719 / B05)) + (B05 + 0.78547865)) - B12) / sqrt(B12),0.0028139144593898545,(B05 - B12 - tanh(1.5079719*B02/B05) + 0.78547865)/sqrt(B12),PySRFunction(X=>(B05 - B12 - tanh(1.5079719*B02/B05) + 0.78547865)/sqrt(B12))
