complexity,loss,equation,score,sympy_format,lambda_format
1,0.21784984,0.32068425,0.0,0.320684250000000,PySRFunction(X=>0.320684250000000)
3,0.20544003,0.0897192 / B05,0.02932592579162426,0.0897192/B05,PySRFunction(X=>0.0897192/B05)
5,0.20357804,0.064648636 / (B05 - 0.06380436),0.004552373108287847,0.064648636/(B05 - 1*0.06380436),PySRFunction(X=>0.064648636/(B05 - 1*0.06380436))
6,0.20179877,square(B02 + (0.11448869 / B05)),0.008778407555820962,(B02 + 0.11448869/B05)**2,PySRFunction(X=>(B02 + 0.11448869/B05)**2)
7,0.20004232,square(B12) + square(0.12097695 / B04),0.008742068593312216,B12**2 + 0.0146354224313025/B04**2,PySRFunction(X=>B12**2 + 0.0146354224313025/B04**2)
8,0.19859397,(0.018884782 / square(B05)) + (B12 + -0.22636266),0.0072665555515575185,B12 - 0.22636266 + 0.018884782/(B05**2),PySRFunction(X=>B12 - 0.22636266 + 0.018884782/(B05**2))
9,0.19845279,B12 + ((B02 + -0.7992542) + (0.19021009 / B05)),0.0007111505251924678,B02 + B12 - 0.7992542 + 0.19021009/B05,PySRFunction(X=>B02 + B12 - 0.7992542 + 0.19021009/B05)
10,0.19751996,(B12 + (B02 + -0.43226445)) + (0.019934261 / square(B04)),0.004711595561398774,B02 + B12 - 0.43226445 + 0.019934261/(B04**2),PySRFunction(X=>B02 + B12 - 0.43226445 + 0.019934261/(B04**2))
11,0.19692816,(B12 + (sqrt(B02) + (0.020962615 / square(B04)))) + -0.68173105,0.003000650346830896,sqrt(B02) + B12 - 0.68173105 + 0.020962615/B04**2,PySRFunction(X=>sqrt(B02) + B12 - 0.68173105 + 0.020962615/B04**2)
12,0.1961792,(((log(B05) + 1.7662965) * square(log(B12))) * -0.36370286) + 0.6042777,0.003810464938733802,-0.36370286*(log(B05) + 1.7662965)*log(B12)**2 + 0.6042777,PySRFunction(X=>-0.36370286*(log(B05) + 1.7662965)*log(B12)**2 + 0.6042777)
14,0.19469729,B02 + ((((log(B04) + 1.7521673) * square(log(B12))) * -0.40814602) + 0.4305584),0.0037912669042134547,B02 - 0.40814602*(log(B04) + 1.7521673)*log(B12)**2 + 0.4305584,PySRFunction(X=>B02 - 0.40814602*(log(B04) + 1.7521673)*log(B12)**2 + 0.4305584)
15,0.19461875,sqrt(B02) + ((square(log(B12)) * ((log(B05) + 1.6784432) * -0.4223702)) + 0.20245254),0.0004034768311393734,sqrt(B02) + (-0.4223702*log(B05) - 0.70892439007264)*log(B12)**2 + 0.20245254,PySRFunction(X=>sqrt(B02) + (-0.4223702*log(B05) - 0.70892439007264)*log(B12)**2 + 0.20245254)
