complexity,loss,equation,score,sympy_format,lambda_format
1,0.1327898,B02,0.0,B02,PySRFunction(X=>B02)
2,0.13267966,tanh(B02),0.0008297753445503218,tanh(B02),PySRFunction(X=>tanh(B02))
3,0.13098659,B12 * 0.5788646,0.012842699969902203,B12*0.5788646,PySRFunction(X=>B12*0.5788646)
4,0.12704264,B12 - square(B07),0.030572173409809323,-B07**2 + B12,PySRFunction(X=>-B07**2 + B12)
5,0.1251844,(B02 / B06) - 0.33619732,0.014734927875613873,B02/B06 - 1*0.33619732,PySRFunction(X=>B02/B06 - 1*0.33619732)
6,0.124236025,B02 * square(B12 / B06),0.007604666461842624,B02*(B12**2/B06**2),PySRFunction(X=>B02*(B12**2/B06**2))
7,0.121969074,((B02 + B12) - B07) * 1.466187,0.018415663006373324,(B02 - B07 + B12)*1.466187,PySRFunction(X=>(B02 - B07 + B12)*1.466187)
8,0.11833902,(B07 - sqrt(B02)) * (B12 / -0.11176511),0.030213964804834514,-8.94733606936905*B12*(-sqrt(B02) + B07),PySRFunction(X=>-8.94733606936905*B12*(-sqrt(B02) + B07))
9,0.115411274,square(B12 / 0.17728527) * (sqrt(B02) - B07),0.02505151171450609,31.816667820191*B12**2*(sqrt(B02) - B07),PySRFunction(X=>31.816667820191*B12**2*(sqrt(B02) - B07))
10,0.11483528,((B12 / -0.050189283) + 2.913521) * (B07 - sqrt(B02)),0.005003290529741903,(2.913521 - 19.9245723434622*B12)*(-sqrt(B02) + B07),PySRFunction(X=>(2.913521 - 19.9245723434622*B12)*(-sqrt(B02) + B07))
11,0.114418276,((B12 / -0.04895429) + 3.032901) * (B07 - sqrt(tanh(B02))),0.0036379323154749703,(3.032901 - 20.4272189424053*B12)*(B07 - sqrt(tanh(B02))),PySRFunction(X=>(3.032901 - 20.4272189424053*B12)*(B07 - sqrt(tanh(B02))))
12,0.11415436,((B12 / -0.047241706) + 3.1588345) * (B07 - sqrt(tanh(tanh(B02)))),0.002309253827575766,(3.1588345 - 21.1677368298257*B12)*(B07 - sqrt(tanh(tanh(B02)))),PySRFunction(X=>(3.1588345 - 21.1677368298257*B12)*(B07 - sqrt(tanh(tanh(B02)))))
13,0.112515636,((B07 - sqrt(B02)) * (square(B12 + -0.094155855) / -0.04758008)) / B07,0.014459368949977267,-21.0171987941172*(-sqrt(B02) + B07)*(B12 - 0.094155855)**2/B07,PySRFunction(X=>-21.0171987941172*(-sqrt(B02) + B07)*(B12 - 0.094155855)**2/B07)
14,0.1123614,square(B12 + -0.0976949) * (((B07 - sqrt(tanh(B02))) / B07) / -0.044791657),0.0013717365448110402,-22.3255862135219*(B07 - sqrt(tanh(B02)))*(B12 - 0.0976949)**2/B07,PySRFunction(X=>-22.3255862135219*(B07 - sqrt(tanh(B02)))*(B12 - 0.0976949)**2/B07)
15,0.11225217,(((B07 - sqrt(tanh(B02))) * square(tanh(B12) + -0.10544256)) / B07) / -0.037355166,0.0009726038245203167,-26.7700590595689*(B07 - sqrt(tanh(B02)))*(tanh(B12) - 0.10544256)**2/B07,PySRFunction(X=>-26.7700590595689*(B07 - sqrt(tanh(B02)))*(tanh(B12) - 0.10544256)**2/B07)
