complexity,loss,equation,score,sympy_format,lambda_format
1,0.021326521,0.021737726,0.0,0.0217377260000000,PySRFunction(X=>0.0217377260000000)
3,0.02123468,0.0043536327 / B03,0.002157860689793391,0.0043536327/B03,PySRFunction(X=>0.0043536327/B03)
4,0.021216853,log(B11) * -0.022015661,0.0008398754903817094,-0.022015661*log(B11),PySRFunction(X=>-0.022015661*log(B11))
5,0.021009963,(0.46835247 - B11) * B12,0.009799064911311987,B12*(0.46835247 - B11),PySRFunction(X=>B12*(0.46835247 - B11))
6,0.02097397,(0.4461119 - tanh(B11)) * B12,0.0017146087203375176,B12*(0.4461119 - tanh(B11)),PySRFunction(X=>B12*(0.4461119 - tanh(B11)))
7,0.02086569,((0.6611386 - B11) * B12) + -0.056114923,0.005175961838133279,B12*(0.6611386 - B11) - 0.056114923,PySRFunction(X=>B12*(0.6611386 - B11) - 0.056114923)
8,0.02080032,(square(B11 + -1.0273625) * B12) - 0.09692341,0.003137812026413621,B12*(B11 - 1.0273625)**2 - 1*0.09692341,PySRFunction(X=>B12*(B11 - 1.0273625)**2 - 1*0.09692341)
10,0.02075106,(square((B11 + -0.69578904) * B12) / 0.10766991) + -0.05174926,0.0011855207475092717,(B12**2*(B11 - 0.69578904)**2)/0.10766991 - 0.05174926,PySRFunction(X=>(B12**2*(B11 - 0.69578904)**2)/0.10766991 - 0.05174926)
11,0.020710597,(square(B12 / -0.2858233) * square(B11 + -0.6138646)) + -0.033369005,0.0019518280634931878,(12.2406573723593*B12**2)*(B11 - 0.6138646)**2 - 0.033369005,PySRFunction(X=>(12.2406573723593*B12**2)*(B11 - 0.6138646)**2 - 0.033369005)
12,0.020557094,(square(-0.91390574 + B11) * ((B8A * B12) / B03)) + -0.09893036,0.007439413461070259,-0.09893036 + B12*B8A*(B11 - 0.91390574)**2/B03,PySRFunction(X=>-0.09893036 + B12*B8A*(B11 - 0.91390574)**2/B03)
13,0.020546798,((B12 * square(B11 + -0.9176797)) * (B8A / tanh(B03))) + -0.102293044,0.0005009744680789345,B12*B8A*(B11 - 0.9176797)**2/tanh(B03) - 0.102293044,PySRFunction(X=>B12*B8A*(B11 - 0.9176797)**2/tanh(B03) - 0.102293044)
14,0.020438083,(square(B11 + -0.5006221) * ((B12 * (B8A / B03)) + -0.22532937)) / 0.11583795,0.005305139472156515,(-0.22532937 + B12*B8A/B03)*(B11 - 0.5006221)**2/0.11583795,PySRFunction(X=>(-0.22532937 + B12*B8A/B03)*(B11 - 0.5006221)**2/0.11583795)
15,0.02043197,((B8A * (B12 / B03)) + -0.22627954) * (square(tanh(B11 + -0.4987734)) / 0.109396026),0.0002991432404349981,(-0.22627954 + B12*B8A/B03)*tanh(B11 - 0.4987734)**2/0.109396026,PySRFunction(X=>(-0.22627954 + B12*B8A/B03)*tanh(B11 - 0.4987734)**2/0.109396026)
