complexity,loss,equation,score,sympy_format,lambda_format
1,0.038101956,0.039670747,0.0,0.0396707470000000,PySRFunction(X=>0.0396707470000000)
2,0.037761547,square(B03),0.008974309679809514,B03**2,PySRFunction(X=>B03**2)
3,0.037641358,B02 * 0.28372815,0.0031879170116376034,B02*0.28372815,PySRFunction(X=>B02*0.28372815)
4,0.035932727,B03 - square(B11),0.046454896882128484,B03 - B11**2,PySRFunction(X=>B03 - B11**2)
5,0.035600476,B03 + (B11 * -0.46608013),0.009289487268863474,B03 + B11*(-0.46608013),PySRFunction(X=>B03 + B11*(-0.46608013))
6,0.034835096,-0.16581239 - (B03 * log(B11)),0.021733624227825977,-B03*log(B11) - 0.16581239,PySRFunction(X=>-B03*log(B11) - 0.16581239)
8,0.03456681,((B03 * log(B11)) * -1.3804138) + -0.2439411,0.003865705595924473,-1.3804138*B03*log(B11) - 0.2439411,PySRFunction(X=>-1.3804138*B03*log(B11) - 0.2439411)
9,0.034198128,((B03 * (B11 + -0.7487545)) * -3.8742833) - 0.2524021,0.010723067407099818,B03*(B11 - 0.7487545)*(-3.8742833) - 1*0.2524021,PySRFunction(X=>B03*(B11 - 0.7487545)*(-3.8742833) - 1*0.2524021)
10,0.034182467,(tanh(B11 + -0.72535044) * (B03 * -4.257591)) - 0.24705862,0.00045805393398006894,tanh(B11 - 0.72535044)*B03*(-4.257591) - 1*0.24705862,PySRFunction(X=>tanh(B11 - 0.72535044)*B03*(-4.257591) - 1*0.24705862)
11,0.033803742,((B11 + -0.9307994) * (B03 * -4.173002)) - (B02 - -0.27967718),0.011141345374120204,(B11 - 0.9307994)*B03*(-4.173002) - (B02 - 1*(-0.27967718)),PySRFunction(X=>(B11 - 0.9307994)*B03*(-4.173002) - (B02 - 1*(-0.27967718)))
12,0.03379303,(((tanh(B03) * (B11 + -0.9518443)) - -0.06997146) * -4.221855) - B02,0.00031693821384440226,-B02 + ((B11 - 0.9518443)*tanh(B03) - 1*(-0.06997146))*(-4.221855),PySRFunction(X=>-B02 + ((B11 - 0.9518443)*tanh(B03) - 1*(-0.06997146))*(-4.221855))
13,0.033776954,((B03 * tanh(B03)) * (log(B11 + B02) * -8.902553)) + -0.18998612,0.0004758325916823573,-8.902553*B03*log(B02 + B11)*tanh(B03) - 0.18998612,PySRFunction(X=>-8.902553*B03*log(B02 + B11)*tanh(B03) - 0.18998612)
14,0.033532694,((((log(B11) + B02) * (B03 * B03)) * -7.785367) - B02) + -0.08134693,0.007257832405295172,-B02 - 7.785367*B03**2*(B02 + log(B11)) - 0.08134693,PySRFunction(X=>-B02 - 7.785367*B03**2*(B02 + log(B11)) - 0.08134693)
15,0.033497605,(((log(B11) + tanh(B02)) * (B03 * (B03 * -7.731418))) + -0.08037528) - B02,0.0010469594714223678,-B02 - 7.731418*B03**2*(log(B11) + tanh(B02)) - 0.08037528,PySRFunction(X=>-B02 - 7.731418*B03**2*(log(B11) + tanh(B02)) - 0.08037528)
