complexity,loss,equation,score,sympy_format,lambda_format
1,0.12359868,B03,0.0,B03,PySRFunction(X=>B03)
2,0.12282839,square(B06),0.006251687436830385,B06**2,PySRFunction(X=>B06**2)
3,0.119548574,B04 + -0.13035546,0.02706541214846004,B04 - 0.13035546,PySRFunction(X=>B04 - 0.13035546)
4,0.118792586,square(B03) / B12,0.006343768195908264,B03**2/B12,PySRFunction(X=>B03**2/B12)
5,0.1187308,square(tanh(B03)) / B12,0.0005202519417906926,tanh(B03)**2/B12,PySRFunction(X=>tanh(B03)**2/B12)
6,0.1186069,(square(B03) / B12) + -0.013624309,0.00104408200850817,B03**2/B12 - 0.013624309,PySRFunction(X=>B03**2/B12 - 0.013624309)
7,0.11833391,B03 * ((B04 / B12) - 0.3191669),0.002304289588546551,B03*(B04/B12 - 1*0.3191669),PySRFunction(X=>B03*(B04/B12 - 1*0.3191669))
8,0.11816304,square(B03) / (B12 + (B8A - B04)),0.0014450083160233232,B03**2/(-B04 + B12 + B8A),PySRFunction(X=>B03**2/(-B04 + B12 + B8A))
9,0.11784251,(B12 + ((B04 * 0.42010882) / B12)) - 0.5548214,0.002716293723424931,B04*0.42010882/B12 + B12 - 1*0.5548214,PySRFunction(X=>B04*0.42010882/B12 + B12 - 1*0.5548214)
10,0.1177032,(((tanh(B04) * 0.4538946) / B12) + B12) - 0.57625335,0.0011828703332643121,B12 - 1*0.57625335 + tanh(B04)*0.4538946/B12,PySRFunction(X=>B12 - 1*0.57625335 + tanh(B04)*0.4538946/B12)
11,0.11763932,B12 + (((tanh(tanh(B04)) * 0.4826537) / B12) - 0.5923241),0.0005428683398886705,B12 - 1*0.5923241 + tanh(tanh(B04))*0.4826537/B12,PySRFunction(X=>B12 - 1*0.5923241 + tanh(tanh(B04))*0.4826537/B12)
12,0.11739492,((square(B03 / B12) * (0.121187024 / B12)) + B12) * B04,0.0020796977333067805,B04*(B12 + (B03**2/B12**2)*0.121187024/B12),PySRFunction(X=>B04*(B12 + (B03**2/B12**2)*0.121187024/B12))
13,0.115441866,(((B03 * ((B03 / B12) - 1.3751576)) / B8A) + B12) - -0.28819886,0.01677655701282073,B03*(B03/B12 - 1*1.3751576)/B8A + B12 - 1*(-0.28819886),PySRFunction(X=>B03*(B03/B12 - 1*1.3751576)/B8A + B12 - 1*(-0.28819886))
14,0.115346946,(B03 * (((B03 / B12) - 1.3752724) / tanh(B8A))) + (B12 - -0.29612935),0.0008225702496538412,B03*(B03/B12 - 1*1.3752724)/tanh(B8A) + B12 - 1*(-0.29612935),PySRFunction(X=>B03*(B03/B12 - 1*1.3752724)/tanh(B8A) + B12 - 1*(-0.29612935))
