complexity,loss,equation,score,sympy_format,lambda_format
1,0.13021158,0.15392241,0.0,0.153922410000000,PySRFunction(X=>0.153922410000000)
2,0.12969129,tanh(B02),0.00400373181731189,tanh(B02),PySRFunction(X=>tanh(B02))
3,0.12788907,B12 + -0.12370976,0.013993686549865878,B12 - 0.12370976,PySRFunction(X=>B12 - 0.12370976)
4,0.12452717,B12 - square(B07),0.026639322517374484,-B07**2 + B12,PySRFunction(X=>-B07**2 + B12)
5,0.122435525,B02 - (B08 - B12),0.016939360131405977,B02 - (B08 - B12),PySRFunction(X=>B02 - (B08 - B12))
6,0.12161046,B02 * square(B12 / B06),0.006761579326317527,B02*(B12**2/B06**2),PySRFunction(X=>B02*(B12**2/B06**2))
7,0.11992366,((B12 + B02) - B07) * 1.4180905,0.013967611893919457,(B02 - B07 + B12)*1.4180905,PySRFunction(X=>(B02 - B07 + B12)*1.4180905)
8,0.11549689,(B02 * (B12 / square(B08))) + -0.31095463,0.037611770483104226,B02*B12/(B08**2) - 0.31095463,PySRFunction(X=>B02*B12/(B08**2) - 0.31095463)
9,0.11507964,(B02 / ((B08 - -0.30105445) - B12)) - B08,0.0036191927725481945,B02/(B08 - B12 - 1*(-0.30105445)) - B08,PySRFunction(X=>B02/(B08 - B12 - 1*(-0.30105445)) - B08)
10,0.114836805,(tanh(B02) / ((B08 - -0.29790804) - B12)) - B08,0.0021123768706226165,-B08 + tanh(B02)/(B08 - B12 - 1*(-0.29790804)),PySRFunction(X=>-B08 + tanh(B02)/(B08 - B12 - 1*(-0.29790804)))
11,0.11255154,((((B12 / B08) - B08) * B02) + -0.05883812) / 0.19936375,0.02010078348245516,(B02*(-B08 + B12/B08) - 0.05883812)/0.19936375,PySRFunction(X=>(B02*(-B08 + B12/B08) - 0.05883812)/0.19936375)
12,0.11221613,((((tanh(B12) / B08) - B08) * B02) / 0.18510911) + -0.30795166,0.0029845061700002145,B02*(-B08 + tanh(B12)/B08)/0.18510911 - 0.30795166,PySRFunction(X=>B02*(-B08 + tanh(B12)/B08)/0.18510911 - 0.30795166)
13,0.11184445,(((((B12 / B08) - B12) - 0.18703215) * B02) / 0.13820365) + -0.32588905,0.0033176772185706106,B02*(-B12 - 1*0.18703215 + B12/B08)/0.13820365 - 0.32588905,PySRFunction(X=>B02*(-B12 - 1*0.18703215 + B12/B08)/0.13820365 - 0.32588905)
14,0.111577824,((B02 * (((tanh(B12) / B08) - B12) - 0.15332562)) / 0.12943368) + -0.36759916,0.002386746153795122,B02*(-B12 - 1*0.15332562 + tanh(B12)/B08)/0.12943368 - 0.36759916,PySRFunction(X=>B02*(-B12 - 1*0.15332562 + tanh(B12)/B08)/0.12943368 - 0.36759916)
