complexity,loss,equation,score,sympy_format,lambda_format
1,0.2178211,0.32063863,0.0,0.320638630000000,PySRFunction(X=>0.320638630000000)
3,0.20444687,0.09053801 / B05,0.031682973174619454,0.09053801/B05,PySRFunction(X=>0.09053801/B05)
5,0.20246592,0.065000646 / (B05 - 0.06466617),0.004868280619990906,0.065000646/(B05 - 1*0.06466617),PySRFunction(X=>0.065000646/(B05 - 1*0.06466617))
6,0.202028,(0.014800131 / square(B05)) + 0.11085761,0.0021652744303093815,0.11085761 + 0.014800131/(B05**2),PySRFunction(X=>0.11085761 + 0.014800131/(B05**2))
7,0.19908287,(0.017028097 / square(B05)) + square(B12),0.0146851314550888,B12**2 + 0.017028097/(B05**2),PySRFunction(X=>B12**2 + 0.017028097/(B05**2))
8,0.19793813,log(B08 / 0.7911652) + (0.36209196 / B05),0.005766663084834422,log(1.26395852598168*B08) + 0.36209196/B05,PySRFunction(X=>log(1.26395852598168*B08) + 0.36209196/B05)
9,0.19718935,B12 + (((0.23002759 / B05) + B08) - 1.0933775),0.0037900724916927675,B08 + B12 - 1*1.0933775 + 0.23002759/B05,PySRFunction(X=>B08 + B12 - 1*1.0933775 + 0.23002759/B05)
10,0.1965462,((B12 + -0.1968711) + log(B08)) + (0.41744885 / B06),0.003266916446911989,B12 + log(B08) - 0.1968711 + 0.41744885/B06,PySRFunction(X=>B12 + log(B08) - 0.1968711 + 0.41744885/B06)
12,0.1963727,B12 + ((tanh(B08) * 2.3078115) + (-1.7395788 - (-0.30577865 / B05))),0.00044156697801103127,B12 + tanh(B08)*2.3078115 - 1.7395788 - (-1)*0.30577865/B05,PySRFunction(X=>B12 + tanh(B08)*2.3078115 - 1.7395788 - (-1)*0.30577865/B05)
13,0.1955925,((B08 + (B12 + -0.96775323)) - (-0.1579624 / B05)) / (B12 + 0.30587125),0.003980970914725464,(B08 + B12 - 0.96775323 - (-1)*0.1579624/B05)/(B12 + 0.30587125),PySRFunction(X=>(B08 + B12 - 0.96775323 - (-1)*0.1579624/B05)/(B12 + 0.30587125))
15,0.195421,((tanh(B08) + (B12 + -0.9590952)) - (-0.151571 / tanh(B05))) / (B12 + 0.27380016),0.00043860381034756225,(B12 + tanh(B08) - 0.9590952 - (-1)*0.151571/tanh(B05))/(B12 + 0.27380016),PySRFunction(X=>(B12 + tanh(B08) - 0.9590952 - (-1)*0.151571/tanh(B05))/(B12 + 0.27380016))
