complexity,loss,equation,score,sympy_format,lambda_format
1,0.030733436,0.031747624,0.0,0.0317476240000000,PySRFunction(X=>0.0317476240000000)
2,0.030592738,square(B02),0.004588521920862236,B02**2,PySRFunction(X=>B02**2)
3,0.030442629,B02 * 0.22734809,0.004918764645020139,B02*0.22734809,PySRFunction(X=>B02*0.22734809)
4,0.030027503,B03 - square(B11),0.01373016753204708,B03 - B11**2,PySRFunction(X=>B03 - B11**2)
5,0.029043581,B03 + (B11 * -0.4835367),0.03331623332853161,B03 + B11*(-0.4835367),PySRFunction(X=>B03 + B11*(-0.4835367))
6,0.02896513,(B11 * -0.47295606) + tanh(B03),0.002704802312489376,B11*(-0.47295606) + tanh(B03),PySRFunction(X=>B11*(-0.47295606) + tanh(B03))
7,0.028764552,(B03 + -0.057420667) - (B11 * B08),0.006948897002804982,B03 - B08*B11 - 0.057420667,PySRFunction(X=>B03 - B08*B11 - 0.057420667)
8,0.02836516,(B03 * (log(B11) / -0.8684739)) - 0.20389621,0.01398216419402226,-1.15144508084814*B03*log(B11) - 0.20389621,PySRFunction(X=>-1.15144508084814*B03*log(B11) - 0.20389621)
9,0.028122777,((B03 / 0.30704507) * (0.7418921 - B11)) + -0.20821099,0.008581814116313593,B03*(0.7418921 - B11)/0.30704507 - 0.20821099,PySRFunction(X=>B03*(0.7418921 - B11)/0.30704507 - 0.20821099)
10,0.028113201,(tanh(B03) * ((0.7549737 - B11) / 0.30100596)) + -0.21800178,0.00034056489930900304,(0.7549737 - B11)*tanh(B03)/0.30100596 - 0.21800178,PySRFunction(X=>(0.7549737 - B11)*tanh(B03)/0.30100596 - 0.21800178)
11,0.028045844,(((B03 / 0.24881452) + -0.23104958) * (0.6428589 - B11)) + -0.11537938,0.002398795502983143,(0.6428589 - B11)*(B03/0.24881452 - 0.23104958) - 0.11537938,PySRFunction(X=>(0.6428589 - B11)*(B03/0.24881452 - 0.23104958) - 0.11537938)
12,0.027865425,(log(B11 + B02) * ((B03 * B03) * -7.12059)) + -0.15356655,0.0064537839848996794,-7.12059*B03**2*log(B02 + B11) - 0.15356655,PySRFunction(X=>-7.12059*B03**2*log(B02 + B11) - 0.15356655)
13,0.027772872,(log(B11 + B02) * tanh((B03 * B03) / -0.12204094)) + -0.16890182,0.003326956084569236,-log(B02 + B11)*tanh(8.19397162952039*B03**2) - 0.16890182,PySRFunction(X=>-log(B02 + B11)*tanh(8.19397162952039*B03**2) - 0.16890182)
14,0.02775665,(log(tanh(B02) + B11) * tanh(B03 * (B03 / -0.12103835))) + -0.17152832,0.0005842658059066832,-log(B11 + tanh(B02))*tanh(8.2618442832375*B03**2) - 0.17152832,PySRFunction(X=>-log(B11 + tanh(B02))*tanh(8.2618442832375*B03**2) - 0.17152832)
15,0.027749639,(tanh((B03 / -0.11996667) * B03) * log(B11 + tanh(tanh(B02)))) + -0.17432094,0.0002526200242746212,-log(B11 + tanh(tanh(B02)))*tanh(8.3356485597208*B03**2) - 0.17432094,PySRFunction(X=>-log(B11 + tanh(tanh(B02)))*tanh(8.3356485597208*B03**2) - 0.17432094)
