complexity,loss,equation,score,sympy_format,lambda_format
1,0.118171744,B02,0.0,B02,PySRFunction(X=>B02)
3,0.1162305,B04 - 0.13497527,0.008281867739603472,B04 - 1*0.13497527,PySRFunction(X=>B04 - 1*0.13497527)
4,0.115612194,square(B03) / B12,0.005333853357478187,B03**2/B12,PySRFunction(X=>B03**2/B12)
5,0.11547466,square(tanh(B03)) / B12,0.0011903231521682826,tanh(B03)**2/B12,PySRFunction(X=>tanh(B03)**2/B12)
6,0.1152957,(square(B03) / B12) + -0.017789334,0.0015509793881206006,B03**2/B12 - 0.017789334,PySRFunction(X=>B03**2/B12 - 0.017789334)
7,0.11487056,((B04 / B12) - 0.3449855) * B03,0.0036942033423600995,B03*(B04/B12 - 1*0.3449855),PySRFunction(X=>B03*(B04/B12 - 1*0.3449855))
8,0.11438673,(B03 * (B03 - B02)) / square(B12),0.004220853507516391,B03*(-B02 + B03)/(B12**2),PySRFunction(X=>B03*(-B02 + B03)/(B12**2))
9,0.11409066,(B03 - B02) * (B03 / (B12 / 3.6116219)),0.002591680215888299,B03*(-B02 + B03)/((B12/3.6116219)),PySRFunction(X=>B03*(-B02 + B03)/((B12/3.6116219)))
10,0.11334491,square(B03 * (2.0293138 / B12)) * (B03 - B02),0.006557924713932782,(4.11811449887044*B03**2/B12**2)*(-B02 + B03),PySRFunction(X=>(4.11811449887044*B03**2/B12**2)*(-B02 + B03))
11,0.11334172,square(B03 / (B12 / 2.0312262)) * tanh(B03 - B02),2.8144580032762177e-05,(4.12587987556644*B03**2/B12**2)*tanh(-B02 + B03),PySRFunction(X=>(4.12587987556644*B03**2/B12**2)*tanh(-B02 + B03))
12,0.11318176,(((square(B03 / B02) * B03) / B12) * B03) - B02,0.001412304160151991,-B02 + B03*B03*(B03**2/B02**2)/B12,PySRFunction(X=>-B02 + B03*B03*(B03**2/B02**2)/B12)
13,0.11255629,(B12 + ((((B03 * B03) / B12) - B02) / B12)) * 0.4879956,0.005541569980151119,(B12 + (-B02 + B03*B03/B12)/B12)*0.4879956,PySRFunction(X=>(B12 + (-B02 + B03*B03/B12)/B12)*0.4879956)
14,0.11251143,square(B12 * -1.195511) + ((((B03 / B12) * B03) - B02) / B06),0.00039863558038502405,1.429246551121*B12**2 + (-B02 + B03*B03/B12)/B06,PySRFunction(X=>1.429246551121*B12**2 + (-B02 + B03*B03/B12)/B06)
15,0.11229284,(B12 * sqrt(B12)) + ((((B03 / B12) * tanh(B03)) - B02) / B06),0.0019447145633908025,B12**(3/2) + (-B02 + B03*tanh(B03)/B12)/B06,PySRFunction(X=>B12**(3/2) + (-B02 + B03*tanh(B03)/B12)/B06)
