complexity,loss,equation,score,sympy_format,lambda_format
1,0.21605048,B06,0.0,B06,PySRFunction(X=>B06)
3,0.21578878,B06 + 0.01618523,0.0006060125983833136,B06 + 0.01618523,PySRFunction(X=>B06 + 0.01618523)
4,0.20956032,sqrt(B05 - B02),0.029288437338821284,sqrt(-B02 + B05),PySRFunction(X=>sqrt(-B02 + B05))
5,0.1991731,0.83165026 - (B02 / B05),0.05083732567671239,0.83165026 - B02/B05,PySRFunction(X=>0.83165026 - B02/B05)
6,0.188853,square((B02 - B05) / B12),0.053205361215310415,(B02 - B05)**2/B12**2,PySRFunction(X=>(B02 - B05)**2/B12**2)
7,0.18639529,((B06 - B02) / B12) + -0.24103221,0.013099300963901309,-0.24103221 + (-B02 + B06)/B12,PySRFunction(X=>-0.24103221 + (-B02 + B06)/B12)
9,0.18557654,(((B05 - B02) / B12) + -0.26660925) / 0.8159892,0.0022011110955654748,(-0.26660925 + (-B02 + B05)/B12)/0.8159892,PySRFunction(X=>(-0.26660925 + (-B02 + B05)/B12)/0.8159892)
10,0.18488443,(((tanh(B05) - B02) * 1.3270113) / B12) + -0.33577836,0.003736484333182615,-0.33577836 + (-B02 + tanh(B05))*1.3270113/B12,PySRFunction(X=>-0.33577836 + (-B02 + tanh(B05))*1.3270113/B12)
11,0.1844267,(((B05 - B02) / B12) / (B02 + 0.6816751)) + -0.31661713,0.0024788326004744512,-0.31661713 + (-B02 + B05)/(B12*(B02 + 0.6816751)),PySRFunction(X=>-0.31661713 + (-B02 + B05)/(B12*(B02 + 0.6816751)))
12,0.18359432,(tanh((B05 - B02) / B12) + -0.2886595) / (B02 + 0.4382582),0.004523553678447257,(tanh((-B02 + B05)/B12) - 0.2886595)/(B02 + 0.4382582),PySRFunction(X=>(tanh((-B02 + B05)/B12) - 0.2886595)/(B02 + 0.4382582))
13,0.18347223,(tanh((B05 - B02) / B12) + -0.28617385) / square(B02 + 0.6252152),0.0006652199962228992,(tanh((-B02 + B05)/B12) - 0.28617385)/((B02 + 0.6252152)**2),PySRFunction(X=>(tanh((-B02 + B05)/B12) - 0.28617385)/((B02 + 0.6252152)**2))
14,0.18346463,(tanh((B05 - B02) / B12) + -0.2863768) / square(tanh(B02) + 0.6258894),4.1424020476321446e-05,(tanh((-B02 + B05)/B12) - 0.2863768)/((tanh(B02) + 0.6258894)**2),PySRFunction(X=>(tanh((-B02 + B05)/B12) - 0.2863768)/((tanh(B02) + 0.6258894)**2))
15,0.18345407,((tanh((B05 - B02) / B12) + -0.3087555) / square(B02 + 0.6240381)) + 0.03752959,5.7560435065950013e-05,0.03752959 + (tanh((-B02 + B05)/B12) - 0.3087555)/((B02 + 0.6240381)**2),PySRFunction(X=>0.03752959 + (tanh((-B02 + B05)/B12) - 0.3087555)/((B02 + 0.6240381)**2))
