complexity,loss,equation,score,sympy_format,lambda_format
1,0.031033594,0.031966366,0.0,0.0319663660000000,PySRFunction(X=>0.0319663660000000)
3,0.030855441,0.0062924707 / B03,0.002878595409943239,0.0062924707/B03,PySRFunction(X=>0.0062924707/B03)
4,0.030831555,square(0.37069726 - B03),0.0007744258188152018,(0.37069726 - B03)**2,PySRFunction(X=>(0.37069726 - B03)**2)
5,0.03048613,square(B11 - sqrt(B12)),0.011266852428286662,(B11 - sqrt(B12))**2,PySRFunction(X=>(B11 - sqrt(B12))**2)
6,0.03048517,tanh(0.50373805 - B11) * B12,3.1490225731796345e-05,B12*tanh(0.50373805 - B11),PySRFunction(X=>B12*tanh(0.50373805 - B11))
7,0.030421494,((0.63213146 - B11) * B12) + -0.03771006,0.002090937806063288,B12*(0.63213146 - B11) - 0.03771006,PySRFunction(X=>B12*(0.63213146 - B11) - 0.03771006)
8,0.030216893,((0.46972838 - B11) * square(B12)) / B03,0.006748259199018387,B12**2*(0.46972838 - B11)/B03,PySRFunction(X=>B12**2*(0.46972838 - B11)/B03)
9,0.03016006,(square(B12) * (0.44845334 - tanh(B11))) / B03,0.0018826063244913895,B12**2*(0.44845334 - tanh(B11))/B03,PySRFunction(X=>B12**2*(0.44845334 - tanh(B11))/B03)
10,0.030040067,((square(B12) - 0.015204213) * (0.49448097 - B11)) / B03,0.003986475274729487,(0.49448097 - B11)*(B12**2 - 1*0.015204213)/B03,PySRFunction(X=>(0.49448097 - B11)*(B12**2 - 1*0.015204213)/B03)
11,0.029960494,((((0.69819564 - B11) * B12) + -0.07201079) * 0.33763146) / B03,0.0026524100883496236,(B12*(0.69819564 - B11) - 0.07201079)*0.33763146/B03,PySRFunction(X=>(B12*(0.69819564 - B11) - 0.07201079)*0.33763146/B03)
12,0.02981903,((0.47866845 - B11) / B03) * (square(0.119798936 - B12) / B11),0.004732866861448173,(0.119798936 - B12)**2*(0.47866845 - B11)/(B03*B11),PySRFunction(X=>(0.119798936 - B12)**2*(0.47866845 - B11)/(B03*B11))
13,0.029812114,(0.47977492 - B11) * ((square(tanh(0.11947108 - B12)) / B03) / B11),0.00023195932752883568,(0.47977492 - B11)*tanh(0.11947108 - B12)**2/(B03*B11),PySRFunction(X=>(0.47977492 - B11)*tanh(0.11947108 - B12)**2/(B03*B11))
14,0.029754085,((square(0.11209935 - B12) * (0.47150475 - B11)) / (B03 * 2.028934)) / B03,0.0019483874859143227,(0.11209935 - B12)**2*(0.47150475 - B11)/(B03*((B03*2.028934))),PySRFunction(X=>(0.11209935 - B12)**2*(0.47150475 - B11)/(B03*((B03*2.028934))))
